"customer","date","sales","age","gender","country","operating_system"
"H886",2023-09-01,0,16,"male","US","Windows Desktop"
"Y1515",2023-09-01,0,57,"female","US","Android"
"M971",2023-09-01,0,45,"male","AUS","iOS"
"E115",2023-09-01,0,57,"male","GER","Windows Desktop"
"T2058",2023-09-01,244.92,40,"female","UK","Android"
"L1402",2023-09-01,110.01,37,"female","MEX","Android"
"H648",2023-09-01,0,59,"female","AUS","Windows Desktop"
"U837",2023-09-01,0,48,"male","CAN","Windows Desktop"
"V689",2023-09-01,0,33,"male","CAN","Android"
"E1243",2023-09-01,0,57,"female","AUS","Android"
"Z2735",2023-09-01,0,32,"female","AUS","macOS Desktop"
"R1866",2023-09-01,0,10,"female","AUS","Windows Desktop"
"G1480",2023-09-01,251.55,65,"male","UK","Android"
"S675",2023-09-01,0,61,"male","AUS","Windows Desktop"
"H2905",2023-09-01,0,49,"female","MEX","iOS"
"Z951",2023-09-01,301.37,47,"female","CAN","Windows Desktop"
"D997",2023-09-01,449.85,38,"female","MEX","Windows Desktop"
"V244",2023-09-01,0,39,"female","US","Android"
"H387",2023-09-01,0,22,"male","GER","Android"
"L2799",2023-09-01,0,31,"female","CAN","macOS Desktop"
"N2019",2023-09-01,0,49,"male","UK","Windows Desktop"
"X2365",2023-09-01,0,49,"male","CAN","Android"
"M241",2023-09-01,0,43,"male","GER","Windows Desktop"
"S1795",2023-09-01,0,56,"male","MEX","iOS"
"X2644",2023-09-01,0,76,"female","CAN","macOS Desktop"
"Q474",2023-09-01,0,74,"male","AUS","macOS Desktop"
"H1002",2023-09-01,0,47,"female","MEX","Windows Desktop"
"C1554",2023-09-01,0,34,"male","UK","Windows Desktop"
"R2678",2023-09-01,0,43,"female","GER","Android"
"V395",2023-09-01,0,36,"non-binary","AUS","iOS"
"B560",2023-09-01,0,61,"female","GER","Windows Desktop"
"Y1783",2023-09-01,0,21,"female","UK","Android"
"D160",2023-09-01,0,29,"female","US","Windows Desktop"
"L2762",2023-09-01,116.97,46,"male","MEX","iOS"
"Z1104",2023-09-01,0,19,"female","AUS","Windows Desktop"
"V693",2023-09-01,0,44,"female","GER","Windows Desktop"
"Y674",2023-09-01,0,48,"female","UK","Windows Desktop"
"C1985",2023-09-01,0,25,"male","GER","iOS"
"B1386",2023-09-01,0,25,"female","UK","Android"
"D284",2023-09-01,190.53,13,"male","CAN","iOS"
"N602",2023-09-01,0,41,"female","MEX","Android"
"K1936",2023-09-01,0,41,"non-binary","MEX","Windows Desktop"
"H104",2023-09-01,0,38,"female","CAN","Windows Desktop"
"L278",2023-09-02,36.43,29,"male","UK","Android"
"T1083",2023-09-02,0,58,"female","UK","Android"
"T2134",2023-09-02,0,50,"female","MEX","Windows Desktop"
"T2408",2023-09-02,0,45,"male","MEX","Windows Desktop"
"V2281",2023-09-02,0,54,"female","GER","Windows Desktop"
"E1204",2023-09-02,219.81,16,"female","CAN","Android"
"Z152",2023-09-02,0,47,"female","MEX","Android"
"S635",2023-09-02,0,28,"transgender","MEX","Windows Desktop"
"R1553",2023-09-02,111.41,45,"male","UK","Windows Desktop"
"C311",2023-09-02,0,45,"female","US","Android"
"B2790",2023-09-02,0,8,"female","US","iOS"
"F344",2023-09-02,0,43,"female","MEX","macOS Desktop"
"D1579",2023-09-02,0,44,"male","UK","Android"
"R1636",2023-09-02,0,25,"male","CAN","iOS"
"M2249",2023-09-02,0,32,"female","US","Windows Desktop"
"F2261",2023-09-02,0,44,"female","MEX","Windows Desktop"
"X413",2023-09-02,0,62,"female","UK","Android"
"V1238",2023-09-02,0,40,"female","MEX","macOS Desktop"
"A2444",2023-09-02,102.29,39,"male","MEX","Windows Desktop"
"Q2547",2023-09-02,0,41,"female","GER","Android"
"R2408",2023-09-02,0,47,"female","MEX","Windows Desktop"
"S901",2023-09-02,0,43,"female","UK","Android"
"L581",2023-09-02,0,52,"male","CAN","Windows Desktop"
"F2904",2023-09-02,293.11,18,"male","AUS","Windows Desktop"
"H1368",2023-09-02,0,32,"male","US","Android"
"F2612",2023-09-02,0,60,"non-binary","AUS","Windows Desktop"
"E1621",2023-09-02,0,29,"female","US","macOS Desktop"
"F289",2023-09-02,0,44,"female","CAN","iOS"
"U2253",2023-09-02,227.42,79,"female","AUS","Android"
"U2439",2023-09-02,0,29,"female","US","Android"
"L985",2023-09-02,0,41,"female","MEX","Android"
"A523",2023-09-02,0,48,"female","UK","Windows Desktop"
"X2696",2023-09-02,0,42,"female","GER","Windows Desktop"
"J195",2023-09-02,124.62,42,"male","CAN","Android"
"D2932",2023-09-02,0,55,"female","MEX","Windows Desktop"
"D1038",2023-09-02,155.27,66,"male","CAN","Android"
"N937",2023-09-02,0,23,"male","MEX","Windows Desktop"
"A2110",2023-09-02,0,19,"female","GER","Windows Desktop"
"G727",2023-09-02,0,41,"male","AUS","Windows Desktop"
"H950",2023-09-02,0,36,"female","US","Android"
"L1644",2023-09-02,0,42,"female","US","Android"
"X299",2023-09-02,0,55,"female","GER","Windows Desktop"
"Y504",2023-09-02,0,44,"male","CAN","Android"
"W1778",2023-09-02,0,41,"male","US","Android"
"S533",2023-09-02,0,72,"male","MEX","Windows Desktop"
"Q1126",2023-09-02,0,55,"female","US","Android"
"Z1578",2023-09-02,0,34,"female","CAN","Windows Desktop"
"T1038",2023-09-02,0,29,"female","MEX","iOS"
"R244",2023-09-02,0,45,"female","MEX","Android"
"Z1626",2023-09-02,0,9,"female","US","Android"
"O224",2023-09-02,0,42,"female","MEX","macOS Desktop"
"S480",2023-09-02,0,17,"male","CAN","Windows Desktop"
"U2778",2023-09-02,0,44,"female","AUS","Android"
"Y2945",2023-09-02,0,53,"female","AUS","Android"
"Q2868",2023-09-02,0,47,"female","GER","iOS"
"P114",2023-09-02,0,25,"female","GER","Android"
"J217",2023-09-02,0,30,"female","CAN","iOS"
"W2707",2023-09-02,0,63,"male","UK","Windows Desktop"
"C1928",2023-09-02,0,31,"female","CAN","iOS"
"E2348",2023-09-02,0,32,"male","US","Android"
"R2259",2023-09-02,0,42,"female","MEX","Windows Desktop"
"T784",2023-09-02,0,53,"female","MEX","Windows Desktop"
"S2640",2023-09-02,0,39,"female","CAN","Android"
"K470",2023-09-02,48.92,25,"female","GER","macOS Desktop"
"C799",2023-09-02,0,52,"male","AUS","Android"
"T2344",2023-09-02,142.07,27,"male","GER","Linux Desktop"
"O1571",2023-09-02,0,41,"female","US","Windows Desktop"
"R2677",2023-09-02,0,38,"male","AUS","Android"
"E1449",2023-09-02,0,48,"non-binary","UK","macOS Desktop"
"N1592",2023-09-02,0,33,"female","GER","Android"
"T913",2023-09-02,0,44,"male","MEX","macOS Desktop"
"O2849",2023-09-02,163.46,28,"male","MEX","Windows Desktop"
"P1418",2023-09-02,0,47,"female","MEX","iOS"
"S1128",2023-09-02,0,32,"male","CAN","Windows Desktop"
"O1271",2023-09-02,0,31,"female","AUS","iOS"
"Y524",2023-09-02,0,29,"male","UK","Android"
"A2826",2023-09-02,135.7,48,"female","CAN","macOS Desktop"
"E1965",2023-09-02,0,60,"non-binary","CAN","Windows Desktop"
"K921",2023-09-02,0,51,"female","UK","Windows Desktop"
"F299",2023-09-02,0,56,"male","CAN","iOS"
"J2518",2023-09-02,0,35,"female","AUS","iOS"
"H919",2023-09-02,0,15,"female","AUS","Android"
"J2496",2023-09-02,0,45,"male","US","Android"
"L1986",2023-09-02,0,55,"female","US","Linux Desktop"
"H2498",2023-09-02,0,16,"female","AUS","Windows Desktop"
"H2355",2023-09-02,119.59,42,"female","MEX","iOS"
"B558",2023-09-02,0,6,"female","UK","Android"
"W1104",2023-09-02,0,52,"female","CAN","Windows Desktop"
"Z1403",2023-09-02,0,58,"male","CAN","Windows Desktop"
"X415",2023-09-02,0,50,"female","GER","Windows Desktop"
"J271",2023-09-02,0,41,"male","MEX","Windows Desktop"
"E2692",2023-09-02,0,6,"male","GER","iOS"
"M1322",2023-09-02,0,27,"female","US","Windows Desktop"
"R304",2023-09-02,0,60,"female","AUS","iOS"
"C2904",2023-09-02,0,5,"female","UK","Windows Desktop"
"I1212",2023-09-02,0,54,"male","AUS","Windows Desktop"
"Z1457",2023-09-02,0,59,"female","CAN","Windows Desktop"
"U1194",2023-09-02,0,31,"female","CAN","Windows Desktop"
"S878",2023-09-02,0,49,"female","GER","Windows Desktop"
"F1879",2023-09-02,0,17,"male","US","macOS Desktop"
"L1059",2023-09-02,0,60,"female","AUS","Windows Desktop"
"Q1102",2023-09-02,0,21,"male","MEX","Windows Desktop"
"M783",2023-09-02,0,39,"female","CAN","macOS Desktop"
"A758",2023-09-02,0,52,"female","GER","Android"
"W1336",2023-09-02,0,56,"female","GER","Windows Desktop"
"V2412",2023-09-02,171.8,29,"female","CAN","macOS Desktop"
"D1679",2023-09-02,0,41,"female","GER","Windows Desktop"
"W1095",2023-09-02,0,46,"female","MEX","Android"
"W1067",2023-09-02,281.48,29,"male","CAN","Windows Desktop"
"Y1000",2023-09-02,0,10,"female","CAN","Windows Desktop"
"G1965",2023-09-02,0,34,"female","UK","iOS"
"R1875",2023-09-02,0,15,"female","AUS","Android"
"F283",2023-09-02,0,37,"female","US","iOS"
"W2460",2023-09-02,0,43,"female","US","iOS"
"S832",2023-09-02,0,27,"female","MEX","Android"
"T2037",2023-09-02,0,61,"non-binary","CAN","iOS"
"P2186",2023-09-02,0,44,"female","AUS","Android"
"G538",2023-09-02,126.66,24,"female","MEX","iOS"
"E2999",2023-09-02,0,50,"male","MEX","Windows Desktop"
"R2238",2023-09-02,0,48,"female","MEX","macOS Desktop"
"J671",2023-09-02,0,39,"non-binary","CAN","Android"
"G301",2023-09-02,0,32,"male","US","Windows Desktop"
"S1042",2023-09-02,539.89,45,"male","US","Windows Desktop"
"H2800",2023-09-02,0,51,"female","AUS","Android"
"U1535",2023-09-02,0,56,"female","GER","Android"
"U817",2023-09-02,0,26,"female","AUS","iOS"
"V2604",2023-09-02,0,8,"female","MEX","Windows Desktop"
"Z1052",2023-09-02,0,26,"female","UK","Windows Desktop"
"U2117",2023-09-02,0,50,"female","UK","Android"
"G680",2023-09-02,0,59,"male","GER","Android"
"N2502",2023-09-02,0,22,"female","AUS","Windows Desktop"
"I2384",2023-09-02,0,47,"female","MEX","Android"
"F337",2023-09-02,0,51,"male","MEX","Windows Desktop"
"U754",2023-09-02,0,47,"male","AUS","Android"
"W2481",2023-09-02,0,36,"male","US","Windows Desktop"
"Y2784",2023-09-02,0,22,"male","US","macOS Desktop"
"X368",2023-09-02,0,44,"male","CAN","Windows Desktop"
"V1882",2023-09-02,40.67,46,"male","MEX","Android"
"P1034",2023-09-02,0,57,"male","CAN","Android"
"U719",2023-09-02,0,53,"male","AUS","Windows Desktop"
"K314",2023-09-02,0,52,"female","CAN","Windows Desktop"
"M837",2023-09-02,0,40,"male","AUS","Android"
"P2065",2023-09-02,0,26,"non-binary","US","iOS"
"Z1418",2023-09-02,0,46,"male","US","Android"
"C421",2023-09-02,0,39,"male","CAN","Windows Desktop"
"K1103",2023-09-02,0,22,"female","US","iOS"
"Q205",2023-09-02,0,46,"female","UK","Android"
"M1630",2023-09-02,0,33,"male","UK","Windows Desktop"
"L2455",2023-09-02,236.94,19,"female","GER","macOS Desktop"
"B1422",2023-09-02,0,11,"male","AUS","Windows Desktop"
"P487",2023-09-02,0,25,"male","US","macOS Desktop"
"H322",2023-09-02,0,35,"female","UK","macOS Desktop"
"C2544",2023-09-02,0,36,"female","CAN","iOS"
"D1893",2023-09-02,0,69,"male","CAN","Android"
"Q1146",2023-09-02,0,63,"male","CAN","Android"
"U1698",2023-09-02,0,35,"female","US","Android"
"M1397",2023-09-02,0,50,"female","GER","iOS"
"K2905",2023-09-02,0,17,"female","UK","Windows Desktop"
"C1146",2023-09-02,0,50,"female","US","Windows Desktop"
"J1437",2023-09-02,0,73,"female","CAN","Windows Desktop"
"Z222",2023-09-02,0,9,"female","MEX","Android"
"U1053",2023-09-03,0,40,"female","US","macOS Desktop"
"F1205",2023-09-03,0,58,"female","AUS","Windows Desktop"
"S2164",2023-09-03,0,45,"female","GER","Android"
"A2738",2023-09-03,0,41,"male","US","Windows Desktop"
"Z1185",2023-09-03,0,30,"female","MEX","Windows Desktop"
"A1393",2023-09-03,0,30,"male","CAN","macOS Desktop"
"Q2167",2023-09-03,0,21,"male","UK","Android"
"P2031",2023-09-03,0,20,"female","US","Windows Desktop"
"Z1565",2023-09-03,0,65,"male","AUS","Windows Desktop"
"Q2295",2023-09-03,0,38,"non-binary","MEX","macOS Desktop"
"X418",2023-09-03,0,33,"female","UK","macOS Desktop"
"Z582",2023-09-03,0,29,"transgender","US","Windows Desktop"
"P262",2023-09-03,519.92,46,"female","US","Linux Desktop"
"M1321",2023-09-03,0,32,"male","MEX","Linux Desktop"
"Q2304",2023-09-03,0,33,"female","GER","Windows Desktop"
"K331",2023-09-03,184.52,29,"female","UK","Android"
"T1072",2023-09-03,0,37,"male","CAN","iOS"
"R862",2023-09-03,0,61,"female","GER","iOS"
"Y1676",2023-09-03,0,25,"female","US","Windows Desktop"
"J411",2023-09-03,0,35,"female","MEX","Windows Desktop"
"U1973",2023-09-03,72.98,38,"male","US","iOS"
"T1364",2023-09-03,0,35,"female","US","Windows Desktop"
"N236",2023-09-03,0,50,"female","AUS","macOS Desktop"
"I1667",2023-09-03,0,21,"male","MEX","Android"
"K1147",2023-09-03,0,44,"female","US","Android"
"D2260",2023-09-03,0,54,"male","GER","iOS"
"O2800",2023-09-03,0,48,"female","AUS","Windows Desktop"
"R103",2023-09-03,0,15,"female","AUS","Windows Desktop"
"Q2692",2023-09-03,0,35,"female","GER","Windows Desktop"
"K564",2023-09-03,0,22,"male","US","Windows Desktop"
"I2637",2023-09-03,0,52,"female","CAN","Android"
"Y843",2023-09-03,0,48,"female","GER","macOS Desktop"
"X778",2023-09-03,650.01,30,"male","MEX","Android"
"M1620",2023-09-03,0,39,"non-binary","CAN","Android"
"O2719",2023-09-03,0,39,"male","GER","iOS"
"B165",2023-09-03,403.58,68,"male","GER","Android"
"M2320",2023-09-03,0,41,"female","AUS","Android"
"J2601",2023-09-03,0,20,"female","GER","iOS"
"T1476",2023-09-03,0,27,"male","UK","Android"
"V2982",2023-09-03,0,64,"male","AUS","iOS"
"Q1468",2023-09-03,0,42,"male","US","iOS"
"B1426",2023-09-03,92.7,37,"female","US","Android"
"W2137",2023-09-03,550.03,45,"male","US","Windows Desktop"
"Q1355",2023-09-03,0,43,"female","UK","Android"
"A2423",2023-09-03,0,45,"male","GER","iOS"
"N844",2023-09-03,0,66,"female","US","Windows Desktop"
"N2868",2023-09-03,0,26,"non-binary","UK","macOS Desktop"
"V829",2023-09-03,0,53,"female","UK","iOS"
"R920",2023-09-03,0,52,"non-binary","CAN","Windows Desktop"
"Q1128",2023-09-03,0,49,"female","US","Windows Desktop"
"W1581",2023-09-03,0,29,"female","US","iOS"
"R1474",2023-09-03,0,48,"female","US","Windows Desktop"
"O1787",2023-09-03,0,36,"male","UK","macOS Desktop"
"I1047",2023-09-03,0,78,"female","MEX","Windows Desktop"
"X1359",2023-09-03,0,35,"male","MEX","Windows Desktop"
"F414",2023-09-03,0,56,"female","UK","Android"
"O544",2023-09-03,0,57,"male","AUS","iOS"
"L1409",2023-09-03,193.33,14,"female","UK","Android"
"R2477",2023-09-03,0,46,"male","MEX","macOS Desktop"
"Y2759",2023-09-03,0,34,"non-binary","UK","Android"
"K183",2023-09-03,0,55,"male","US","Android"
"J1942",2023-09-03,0,51,"female","GER","Android"
"S450",2023-09-03,0,33,"male","GER","iOS"
"J2602",2023-09-03,0,52,"female","GER","iOS"
"J1969",2023-09-03,0,49,"male","AUS","Android"
"T988",2023-09-03,0,28,"female","AUS","iOS"
"D903",2023-09-03,0,38,"female","AUS","macOS Desktop"
"K326",2023-09-03,0,29,"non-binary","UK","Windows Desktop"
"D1636",2023-09-03,0,49,"female","GER","Android"
"P1656",2023-09-03,0,29,"female","AUS","Android"
"Y1303",2023-09-03,0,36,"male","UK","Windows Desktop"
"L2209",2023-09-03,0,37,"female","AUS","Android"
"C1098",2023-09-03,119.27,28,"female","GER","Windows Desktop"
"C832",2023-09-03,116.53,51,"male","AUS","Android"
"E1918",2023-09-03,0,55,"female","US","Windows Desktop"
"B1270",2023-09-03,0,35,"male","CAN","Android"
"S1549",2023-09-03,0,23,"male","UK","Android"
"T2936",2023-09-03,0,66,"female","CAN","Android"
"F2341",2023-09-03,0,21,"female","GER","Windows Desktop"
"B2648",2023-09-03,0,50,"male","MEX","Android"
"P575",2023-09-03,57.98,19,"female","CAN","Windows Desktop"
"O1422",2023-09-03,0,56,"female","MEX","Windows Desktop"
"W2202",2023-09-03,0,30,"male","AUS","Android"
"V1007",2023-09-03,0,28,"male","UK","Windows Desktop"
"Q543",2023-09-03,0,58,"female","CAN","Linux Desktop"
"O1247",2023-09-03,0,81,"male","US","Android"
"S374",2023-09-03,49.29,23,"male","MEX","Windows Desktop"
"M707",2023-09-03,83.06,62,"female","GER","Android"
"F2027",2023-09-03,0,41,"male","GER","iOS"
"D216",2023-09-03,18.66,26,"female","GER","Android"
"P2602",2023-09-03,0,27,"female","AUS","Windows Desktop"
"W2059",2023-09-03,0,31,"female","MEX","Android"
"H1056",2023-09-03,0,29,"female","UK","Android"
"B2720",2023-09-03,0,61,"non-binary","US","Windows Desktop"
"H2327",2023-09-03,0,47,"female","MEX","Android"
"S1748",2023-09-03,0,34,"male","AUS","macOS Desktop"
"Q2036",2023-09-03,0,55,"male","GER","Android"
"B1685",2023-09-03,0,29,"male","GER","Windows Desktop"
"M609",2023-09-03,0,69,"male","CAN","Windows Desktop"
"E2735",2023-09-03,0,44,"male","GER","Android"
"B1672",2023-09-03,0,52,"female","US","macOS Desktop"
"N2140",2023-09-03,0,37,"female","CAN","Android"
"H1392",2023-09-03,0,21,"male","MEX","macOS Desktop"
"G1282",2023-09-03,0,68,"female","US","iOS"
"S2188",2023-09-03,0,28,"male","UK","Windows Desktop"
"L1947",2023-09-03,0,29,"male","MEX","macOS Desktop"
"S759",2023-09-03,0,35,"male","UK","Android"
"L1493",2023-09-03,0,27,"female","MEX","Android"
"Q1760",2023-09-03,0,41,"female","CAN","iOS"
"J2332",2023-09-03,0,38,"female","MEX","macOS Desktop"
"P148",2023-09-03,0,67,"female","US","iOS"
"Q2415",2023-09-03,0,37,"female","UK","Android"
"H1411",2023-09-03,0,55,"male","US","macOS Desktop"
"U931",2023-09-03,0,50,"male","AUS","Windows Desktop"
"W2261",2023-09-03,0,24,"female","MEX","Windows Desktop"
"Q1094",2023-09-03,0,43,"female","MEX","iOS"
"Q146",2023-09-03,0,33,"female","GER","Windows Desktop"
"J541",2023-09-03,0,47,"female","GER","macOS Desktop"
"S2914",2023-09-03,0,30,"male","UK","Android"
"B1138",2023-09-03,0,34,"female","US","Windows Desktop"
"T1257",2023-09-03,0,35,"female","GER","Windows Desktop"
"W2810",2023-09-03,0,37,"female","CAN","iOS"
"O1676",2023-09-03,0,25,"female","CAN","Windows Desktop"
"T1699",2023-09-03,0,62,"female","CAN","Android"
"G1109",2023-09-03,0,28,"female","CAN","Windows Desktop"
"D2248",2023-09-03,0,51,"female","US","Windows Desktop"
"T1192",2023-09-03,0,80,"female","MEX","Android"
"U2053",2023-09-03,0,41,"female","UK","Windows Desktop"
"X1403",2023-09-03,0,47,"female","CAN","Android"
"C240",2023-09-03,0,37,"female","CAN","Android"
"P2263",2023-09-03,0,34,"male","AUS","iOS"
"M444",2023-09-03,0,0,"male","CAN","iOS"
"C2434",2023-09-03,0,37,"female","US","Windows Desktop"
"C2861",2023-09-03,0,52,"male","AUS","Android"
"Z2971",2023-09-03,163.76,16,"female","AUS","Android"
"U2018",2023-09-03,0,19,"male","GER","iOS"
"K2583",2023-09-03,0,30,"male","UK","iOS"
"Q2087",2023-09-03,0,30,"male","CAN","Android"
"L993",2023-09-03,0,37,"male","CAN","Windows Desktop"
"Y195",2023-09-03,0,37,"female","GER","Android"
"C1889",2023-09-03,0,32,"male","MEX","Android"
"Y1499",2023-09-03,0,40,"male","AUS","Android"
"D2504",2023-09-03,0,59,"male","GER","Windows Desktop"
"U2628",2023-09-03,0,45,"female","CAN","Android"
"Z1632",2023-09-03,0,44,"non-binary","AUS","iOS"
"K2251",2023-09-04,0,45,"female","AUS","Android"
"F394",2023-09-04,0,35,"female","US","Android"
"N333",2023-09-04,0,40,"female","UK","Android"
"Q2605",2023-09-04,0,36,"female","CAN","Windows Desktop"
"W2632",2023-09-04,254.38,51,"female","AUS","macOS Desktop"
"M2322",2023-09-04,0,23,"male","AUS","Windows Desktop"
"T1332",2023-09-04,0,18,"male","US","Windows Desktop"
"A2949",2023-09-04,0,69,"female","CAN","Android"
"K1769",2023-09-04,51.58,25,"female","MEX","Android"
"T1185",2023-09-04,72.01,54,"male","CAN","Windows Desktop"
"K2220",2023-09-04,0,35,"non-binary","UK","iOS"
"A1094",2023-09-04,0,58,"male","US","Windows Desktop"
"E1915",2023-09-04,0,26,"female","UK","Windows Desktop"
"A2434",2023-09-04,0,12,"female","AUS","Windows Desktop"
"Q555",2023-09-04,0,44,"female","CAN","Windows Desktop"
"E1357",2023-09-04,0,70,"male","CAN","Android"
"T1728",2023-09-04,0,36,"male","UK","Windows Desktop"
"R2133",2023-09-04,0,49,"female","UK","Windows Desktop"
"M1686",2023-09-04,0,57,"male","CAN","Windows Desktop"
"U2839",2023-09-04,24.54,64,"male","GER","Android"
"F905",2023-09-04,0,13,"female","US","Windows Desktop"
"F1822",2023-09-04,0,48,"male","AUS","Android"
"L2282",2023-09-04,0,49,"female","UK","Android"
"W218",2023-09-04,0,25,"female","AUS","Windows Desktop"
"C1848",2023-09-04,127.25,40,"female","GER","iOS"
