"departament_id","intervention","engagement_score","tenure","n_of_reports","gender","role","last_engagement_score","department_score","department_size"
75,1,-0.98,5,6,1,3,-1.82,0,665
75,1,1,5,2,1,3,-0.74,0,665
74,1,-0.09,5,4,1,4,-0.39,-1,1280
74,1,-0.92,5,4,1,4,-0.32,-1,1280
74,1,-0.24,5,2,1,4,-1.22,-1,1280
74,1,-1.04,5,4,2,4,-1.62,-1,1280
74,1,-1.45,4,8,1,4,-1.12,-1,1280
74,1,-1.63,3,1,1,4,0.18,-1,1280
74,1,-0.16,4,8,1,4,-1.32,-1,1280
74,1,0.32,5,5,2,4,1,-1,1280
74,1,-0.73,4,8,1,4,1.67,-1,1280
74,1,-1.95,5,4,2,4,-0.17,-1,1280
74,1,0.16,6,4,2,4,-0.86,-1,1280
74,1,0.86,7,4,1,4,-0.89,-1,1280
74,1,1.14,7,1,1,4,-1.47,-1,1280
74,1,-0.55,6,4,1,4,-0.76,-1,1280
74,1,0.88,7,4,2,4,0.15,-1,1280
74,1,-0.68,4,8,1,4,-0.95,-1,1280
74,1,-1.36,3,4,2,4,-1.33,-1,1280
74,1,-1.4,3,8,1,4,-2.17,-1,1280
74,1,0.18,7,8,2,4,0.82,-1,1280
74,1,0.82,5,1,2,4,0.82,-1,1280
74,1,-0.25,6,2,2,4,-3.74,-1,1280
74,1,-0.69,5,2,1,4,0.32,-1,1280
74,1,0.03,6,4,1,4,-2.15,-1,1280
74,1,0.3,3,4,1,4,-1.24,-1,1280
74,1,-0.76,5,4,2,4,-0.42,-1,1280
74,1,-0.09,6,2,2,4,0.38,-1,1280
74,1,-0.48,5,8,1,4,-0.53,-1,1280
74,1,-1.28,6,4,1,4,-0.48,-1,1280
74,1,-0.83,4,7,1,4,0.32,-1,1280
74,1,-1.03,5,8,1,4,1.62,-1,1280
74,1,2.53,7,8,1,4,-2.26,-1,1280
74,1,0.71,6,8,2,4,-1.1,-1,1280
74,1,0,4,8,1,4,-0.7,-1,1280
74,1,-0.68,3,5,2,4,-0.92,-1,1280
74,1,-0.98,5,8,1,4,-0.01,-1,1280
74,1,-0.16,6,4,1,4,-2.5,-1,1280
74,1,-0.01,6,4,2,4,0.82,-1,1280
74,1,-0.73,4,4,1,4,-0.58,-1,1280
74,1,0.69,6,3,1,4,1.06,-1,1280
74,1,-1.42,4,2,2,4,0.36,-1,1280
74,1,-0.14,5,2,1,4,-0.45,-1,1280
74,1,-0.08,5,1,1,4,0.37,-1,1280
74,1,-2.22,3,4,2,4,-0.1,-1,1280
74,1,0.83,7,4,2,4,-0.45,-1,1280
74,1,-1.21,5,4,2,4,-0.99,-1,1280
74,1,-0.43,6,4,1,4,0.12,-1,1280
74,1,-0.2,6,8,2,4,-0.03,-1,1280
74,1,-0.7,4,8,2,4,-0.03,-1,1280
74,1,0.68,6,5,2,4,0.19,-1,1280
74,1,-0.97,5,2,2,4,-2.69,-1,1280
74,1,-0.48,5,4,1,4,0.58,-1,1280
74,1,-1,5,8,1,4,0.08,-1,1280
74,1,0.43,6,8,2,4,-1.09,-1,1280
74,1,-0.09,5,4,1,4,0.51,-1,1280
74,1,0.28,6,2,1,4,0.4,-1,1280
74,1,-0.32,5,8,2,4,-1.73,-1,1280
74,1,-0.85,5,4,2,4,0.6,-1,1280
74,1,-0.21,3,4,1,4,-0.16,-1,1280
74,1,-1.25,5,5,2,4,-2,-1,1280
74,1,-0.98,5,2,2,4,-1.49,-1,1280
74,1,-0.3,5,8,2,4,-0.6,-1,1280
74,1,-0.18,5,4,1,4,0.82,-1,1280
74,1,0.79,3,5,1,4,0.86,-1,1280
74,1,-0.4,7,5,1,4,0.2,-1,1280
74,1,0.44,6,8,2,4,-0.32,-1,1280
74,1,0.33,6,2,1,4,-1.1,-1,1280
74,1,0.05,6,4,2,4,-1.3,-1,1280
74,1,0.7,6,4,2,4,-0.02,-1,1280
74,1,-1.08,5,4,2,4,-0.22,-1,1280
74,1,2.74,7,4,1,4,-0.82,-1,1280
74,1,-0.46,6,4,2,4,0.4,-1,1280
74,1,-0.12,5,2,1,4,-1.09,-1,1280
74,1,0.49,5,4,2,4,-0.77,-1,1280
74,1,-0.14,6,4,1,4,1.32,-1,1280
74,1,-0.95,6,4,2,4,-1.58,-1,1280
74,1,0.81,5,8,2,4,1.15,-1,1280
74,1,-1.53,1,2,1,4,0.29,-1,1280
74,1,-0.06,5,4,1,4,-0.15,-1,1280
74,1,0.32,5,4,2,4,-0.07,-1,1280
74,1,1.82,7,4,1,4,0.27,-1,1280
74,1,-2.14,5,8,2,4,-0.04,-1,1280
74,1,-0.05,6,8,2,4,-0.13,-1,1280
73,1,-0.65,4,4,2,1,0.26,0,1192
73,1,-0.29,6,4,1,1,1.01,0,1192
73,1,-0.23,5,8,2,1,0.82,0,1192
73,1,-0.15,5,8,1,1,2.89,0,1192
73,1,-1.58,6,4,2,1,0.57,0,1192
73,1,1.1,6,4,1,1,0.74,0,1192
73,1,-1.8,5,4,1,1,1.36,0,1192
73,1,-1.48,5,4,2,1,0.25,0,1192
73,1,0.83,6,4,2,1,-0.15,0,1192
73,1,-1.04,6,4,1,1,2.06,0,1192
73,1,-1.3,5,8,2,1,0.65,0,1192
73,1,0.18,6,4,2,1,1.67,0,1192
73,1,0.66,7,4,1,1,1.77,0,1192
73,1,0.09,6,4,1,1,-0.49,0,1192
73,1,0.5,6,8,1,1,-0.04,0,1192
73,1,0.57,7,4,2,1,-1.88,0,1192
73,1,-0.63,5,8,2,1,0.15,0,1192
73,1,-0.09,6,4,1,1,-0.84,0,1192
73,1,-0.42,6,4,2,1,0.83,0,1192
73,1,1.03,7,4,1,1,0.72,0,1192
73,1,-0.73,5,1,1,1,-0.68,0,1192
73,1,0.98,5,1,1,1,1.45,0,1192
73,1,-0.61,5,4,1,1,1.84,0,1192
73,1,0.9,6,4,2,1,0.95,0,1192
73,1,-1.47,6,4,1,1,-1.35,0,1192
73,1,-0.06,4,4,1,1,1.85,0,1192
73,1,0.95,7,4,1,1,0.07,0,1192
73,1,0.08,6,4,2,1,1.44,0,1192
73,1,-0.5,6,4,2,1,1.27,0,1192
73,1,-0.44,6,4,1,1,0.98,0,1192
73,1,0.17,7,1,2,1,0.48,0,1192
73,1,0.65,6,4,1,1,1.06,0,1192
73,1,-0.82,7,4,2,1,3.25,0,1192
73,1,1.17,6,8,2,1,-1.45,0,1192
73,1,0.64,6,1,1,1,2.03,0,1192
73,1,-0.51,5,1,1,1,1.04,0,1192
73,1,-0.79,7,4,2,1,-0.74,0,1192
73,1,-0.29,5,8,2,1,0.84,0,1192
73,1,-0.53,5,8,2,1,1.01,0,1192
73,1,-0.3,6,8,2,1,1.44,0,1192
73,1,-1.39,5,4,1,1,1.71,0,1192
73,1,-1.53,4,8,1,1,0.48,0,1192
73,1,-0.55,6,4,2,1,-0.05,0,1192
73,1,-1.63,6,4,2,1,-1.49,0,1192
73,1,-0.46,4,4,1,1,-0.34,0,1192
73,1,-0.73,5,2,1,1,0.67,0,1192
73,1,-0.79,6,1,2,1,0.14,0,1192
73,1,-0.86,7,4,2,1,0.04,0,1192
73,1,-0.01,5,4,1,1,1.39,0,1192
73,1,0.37,7,5,1,1,1.37,0,1192
73,1,1.11,6,1,1,1,-0.32,0,1192
73,1,1.57,7,4,1,1,0.97,0,1192
73,1,0.3,4,4,1,1,0.69,0,1192
73,1,-1.35,6,4,2,1,-0.08,0,1192
73,1,0.09,5,8,2,1,1.45,0,1192
73,1,1.14,6,5,1,1,1.96,0,1192
73,1,-0.43,5,8,2,1,1.21,0,1192
73,1,-0.47,5,1,2,1,0.54,0,1192
73,1,0.51,6,2,2,1,-0.22,0,1192
73,1,0.34,5,8,1,1,1.16,0,1192
73,1,-1.1,6,4,2,1,0.32,0,1192
73,1,1.18,6,1,2,1,1.49,0,1192
73,1,1.48,5,1,2,1,0.63,0,1192
73,1,-0.14,5,1,1,1,1.85,0,1192
73,1,-1.46,5,1,2,1,2.06,0,1192
73,1,0.83,6,4,2,1,0.3,0,1192
73,1,0.02,3,8,2,1,-0.92,0,1192
73,1,-0.68,5,4,2,1,0.4,0,1192
73,1,-0.46,6,4,2,1,-0.33,0,1192
73,1,1.17,7,5,1,1,0.68,0,1192
73,1,1.25,6,8,1,1,0.04,0,1192
73,1,0.8,6,4,1,1,-0.95,0,1192
73,1,2.3,6,4,2,1,-0.72,0,1192
73,1,0.1,6,4,2,1,1.12,0,1192
73,1,0.56,6,4,1,1,-0.91,0,1192
73,1,1.63,6,4,2,1,0.55,0,1192
73,1,-0.1,7,1,2,1,1.79,0,1192
73,1,0.22,6,4,2,1,1.95,0,1192
73,1,-0.3,7,4,2,1,2.33,0,1192
73,1,0.35,6,8,2,1,0.28,0,1192
73,1,-0.17,5,4,2,1,-0.85,0,1192
73,1,0.56,6,8,1,1,0.89,0,1192
73,1,-1.1,6,4,2,1,0.92,0,1192
72,1,-0.31,5,2,2,3,-0.27,0,1016
72,1,0.84,5,4,1,3,-0.61,0,1016
72,1,-0.02,5,2,1,3,-1.72,0,1016
72,1,-0.06,5,8,1,3,-2.38,0,1016
72,1,0.92,6,8,2,3,-0.52,0,1016
72,1,-0.53,5,4,1,3,-2.05,0,1016
72,1,-0.82,4,4,1,3,-0.59,0,1016
72,1,-0.08,5,8,1,3,-1.48,0,1016
72,1,-0.06,5,4,1,3,-1.03,0,1016
72,1,1.2,7,4,2,3,0.14,0,1016
72,1,1.07,6,8,2,3,-0.69,0,1016
72,1,0.48,6,4,2,3,-0.28,0,1016
72,1,-0.86,6,4,1,3,0.27,0,1016
72,1,0.31,6,4,2,3,-1.69,0,1016
72,1,1.23,7,4,1,3,0.33,0,1016
72,1,0.28,6,2,1,3,0.08,0,1016
72,1,-0.16,5,8,1,3,-1.37,0,1016
72,1,0.7,6,8,1,3,-1.08,0,1016
72,1,0.91,6,8,2,3,0.17,0,1016
72,1,1.82,6,4,2,3,-0.76,0,1016
72,1,-1.04,5,8,1,3,-1.41,0,1016
72,1,-1.44,5,4,2,3,-1.27,0,1016
72,1,-0.66,6,4,2,3,-0.1,0,1016
72,1,-0.37,4,4,2,3,0.56,0,1016
72,1,-0.33,7,3,2,3,-0.39,0,1016
72,1,-0.4,5,8,1,3,0.88,0,1016
72,1,-0.96,5,8,2,3,-1.53,0,1016
72,1,-1.05,4,8,1,3,-0.49,0,1016
72,1,2.14,6,4,2,3,-0.72,0,1016
72,1,2.15,6,4,1,3,-0.53,0,1016
72,1,0.11,5,4,1,3,-1.45,0,1016
72,1,-0.33,6,4,2,3,-1.38,0,1016
72,1,0.12,7,4,1,3,1.42,0,1016
72,1,-0.4,3,4,2,3,0.2,0,1016
72,1,-1.07,6,1,1,3,1.26,0,1016
72,1,1.24,5,1,1,3,1.32,0,1016
72,1,0.72,6,4,2,3,0.45,0,1016
72,1,-1.14,5,4,2,3,1.13,0,1016
72,1,0.22,5,4,1,3,-1.93,0,1016
72,1,-1.39,5,4,1,3,-2.08,0,1016
72,1,-0.2,4,8,2,3,0.17,0,1016
72,1,1.9,6,4,2,3,0.5,0,1016
72,1,0.33,5,8,1,3,-1.75,0,1016
72,1,0.33,5,4,2,3,0.05,0,1016
72,1,0.41,6,4,2,3,-0.58,0,1016
72,1,-0.46,4,4,1,3,-0.95,0,1016
72,1,-0.11,5,4,1,3,-2.33,0,1016
72,1,-0.27,5,4,2,3,-0.93,0,1016
72,1,-0.82,5,1,2,3,-0.14,0,1016
72,1,-0.88,5,4,2,3,0.1,0,1016
72,1,0.25,5,8,2,3,-1.03,0,1016
72,1,-0.05,3,4,1,3,-1.52,0,1016
72,1,1.3,5,4,2,3,0.25,0,1016
72,1,-0.58,6,4,1,3,-0.41,0,1016
72,1,0,6,4,1,3,0.59,0,1016
72,1,0.3,6,4,2,3,-2.23,0,1016
72,1,0.69,6,4,1,3,-0.5,0,1016
72,1,0.92,7,4,2,3,0.21,0,1016
72,1,0.74,6,5,2,3,0.62,0,1016
72,1,0.3,7,1,1,3,0.31,0,1016
72,1,-0.77,5,4,2,3,-0.66,0,1016
72,1,1.1,6,8,1,3,-1.5,0,1016
72,1,-0.87,6,8,2,3,-0.65,0,1016
72,1,-0.7,5,4,2,3,-0.41,0,1016
72,1,0.66,7,1,1,3,-2.53,0,1016
72,1,0.92,6,4,2,3,-0.56,0,1016
72,1,-1.07,1,8,1,3,-0.74,0,1016
72,1,0.37,6,4,1,3,0.8,0,1016
72,1,-0.66,5,8,2,3,1.08,0,1016
72,1,0.52,5,4,2,3,1.19,0,1016
72,1,0.27,6,4,2,3,-0.36,0,1016
72,1,-0.65,3,4,1,3,-0.24,0,1016
71,1,1.57,6,4,1,1,-1.97,-1,161
71,1,1.91,7,4,2,1,-0.84,-1,161
71,1,0.13,6,4,2,1,0.11,-1,161
71,1,1.56,7,4,1,1,-0.16,-1,161
71,1,2.35,6,8,1,1,0.11,-1,161
71,1,0.27,4,8,1,1,-1.33,-1,161
71,1,0.96,6,4,1,1,0.36,-1,161
71,1,0.62,5,4,2,1,1.16,-1,161
71,1,1.18,6,4,2,1,-2.92,-1,161
71,1,1.85,6,4,2,1,0.92,-1,161
71,1,2.5,6,4,1,1,-1.54,-1,161
71,1,2.15,6,4,1,1,-0.03,-1,161
71,1,1.33,7,4,1,1,-0.97,-1,161
70,1,-0.2,3,2,1,4,-3.11,2,127
70,1,2.25,6,2,1,4,-2.71,2,127
70,1,0.65,6,2,2,4,-0.84,2,127
70,1,0.29,6,1,1,4,-1.53,2,127
70,1,2.11,7,4,1,4,-1.53,2,127
70,1,-0.02,6,2,1,4,-3.46,2,127
70,1,-0.43,5,1,1,4,-2.94,2,127
70,1,1.44,6,8,1,4,-2.58,2,127
70,1,-1.7,3,2,2,4,-2.76,2,127
70,1,0.08,5,1,2,4,-4.19,2,127
70,1,1.31,6,8,1,4,-2.89,2,127
70,1,-1.22,5,4,2,4,-5.05,2,127
70,1,0.42,4,8,1,4,-1.94,2,127
70,1,0.59,4,2,2,4,-2.57,2,127
70,1,-0.2,5,8,2,4,-2.89,2,127
69,1,0.82,7,6,1,1,0.09,-1,1102
69,1,-0.94,5,4,1,1,0.07,-1,1102
69,1,1.06,4,5,2,1,1.01,-1,1102
69,1,1.11,7,8,2,1,-0.91,-1,1102
69,1,-0.43,5,4,2,1,0.38,-1,1102
69,1,0.12,6,4,2,1,1.73,-1,1102
69,1,-0.48,4,4,1,1,0.5,-1,1102
69,1,0.02,4,2,2,1,2.35,-1,1102
69,1,-0.2,4,4,1,1,2.82,-1,1102
69,1,-0.03,5,8,2,1,-1.34,-1,1102
69,1,-0.92,4,2,1,1,0.92,-1,1102
69,1,-0.47,5,8,2,1,1.62,-1,1102
69,1,0.77,6,8,1,1,-0.1,-1,1102
69,1,1.22,5,1,2,1,0.83,-1,1102
69,1,0.25,6,8,2,1,1.36,-1,1102
69,1,0.43,7,4,1,1,2.01,-1,1102
69,1,0.12,5,4,1,1,1.66,-1,1102
69,1,-0.8,6,8,2,1,0.28,-1,1102
69,1,0.07,5,4,1,1,1.94,-1,1102
69,1,0.05,6,4,1,1,1.87,-1,1102
69,1,0.93,6,4,1,1,0.63,-1,1102
69,1,1.62,6,5,1,1,0.58,-1,1102
69,1,-0.2,5,1,1,1,0.63,-1,1102
69,1,0.38,6,1,2,1,1.86,-1,1102
69,1,0.66,5,8,2,1,-0.22,-1,1102
69,1,0.33,6,5,1,1,-0.45,-1,1102
69,1,-0.73,5,8,2,1,-0.2,-1,1102
69,1,-2.11,5,8,2,1,-1,-1,1102
69,1,-1.4,5,4,1,1,1.61,-1,1102
69,1,-0.59,5,4,1,1,1.25,-1,1102
69,1,1.4,6,4,1,1,1,-1,1102
69,1,-0.48,5,2,2,1,1.96,-1,1102
69,1,0.16,5,2,1,1,-0.33,-1,1102
69,1,0.93,6,8,1,1,1.43,-1,1102
69,1,-0.74,6,4,1,1,-0.94,-1,1102
69,1,1.23,6,4,1,1,0.59,-1,1102
69,1,-1.71,5,4,2,1,1.81,-1,1102
69,1,-0.96,6,8,2,1,1.93,-1,1102
69,1,0.99,5,5,1,1,1.55,-1,1102
69,1,-1.18,6,1,1,1,1.5,-1,1102
69,1,0.63,6,4,2,1,2.36,-1,1102
69,1,-0.25,5,2,2,1,2.05,-1,1102
69,1,-0.37,6,4,1,1,1.15,-1,1102
69,1,-0.59,6,1,2,1,0.63,-1,1102
69,1,0.45,6,5,1,1,1.84,-1,1102
69,1,-0.94,7,4,1,1,0.03,-1,1102
69,1,1.49,6,4,1,1,0.03,-1,1102
69,1,0.17,5,8,1,1,2.44,-1,1102
69,1,-1.17,5,8,2,1,0.44,-1,1102
69,1,-0.92,5,4,1,1,2.35,-1,1102
69,1,-0.54,6,8,2,1,0.68,-1,1102
69,1,0.49,6,6,1,1,0.74,-1,1102
69,1,-1.6,5,4,2,1,1.85,-1,1102
69,1,-0.07,5,8,2,1,0.83,-1,1102
69,1,-0.76,5,4,2,1,0.34,-1,1102
69,1,0.5,5,8,1,1,1.74,-1,1102
69,1,-0.51,5,8,2,1,-1.14,-1,1102
69,1,-1.06,5,4,2,1,1.14,-1,1102
69,1,-0.28,1,4,1,1,0.19,-1,1102
69,1,-0.26,6,4,2,1,2.05,-1,1102
69,1,0.43,5,8,1,1,2.19,-1,1102
69,1,0.04,6,2,1,1,-1.18,-1,1102
69,1,-0.3,6,8,2,1,1.44,-1,1102
69,1,0.42,5,8,2,1,1.93,-1,1102
69,1,-0.26,4,2,2,1,1.2,-1,1102
68,1,-0.01,7,6,2,4,-3.32,2,426
68,1,1.03,7,8,1,4,-1.61,2,426
68,1,0.41,6,6,1,4,-2.53,2,426
68,1,1.21,7,2,1,4,-1.07,2,426
68,1,0.98,4,8,1,4,-3.1,2,426
68,1,-0.91,5,1,2,4,-1.95,2,426
68,1,0.49,4,1,1,4,-1.45,2,426
68,1,-0.09,6,1,2,4,-3.8,2,426
68,1,0.15,4,8,1,4,-3.69,2,426
68,1,1.1,7,4,1,4,-2.65,2,426
68,1,-0.87,5,1,2,4,-3.41,2,426
68,1,-0.07,5,8,1,4,-2.1,2,426
68,1,-0.2,6,1,1,4,-3.3,2,426
68,1,0.85,5,8,1,4,-1.91,2,426
68,1,1.8,5,8,1,4,-2.46,2,426
68,1,0.35,4,4,1,4,-3.06,2,426
68,1,0.24,5,8,1,4,-3.6,2,426
68,1,-1.03,4,8,1,4,-2.45,2,426
68,1,0.56,7,8,1,4,-2.36,2,426
68,1,0.24,5,1,1,4,-3.79,2,426
68,1,0.93,6,8,1,4,-2.66,2,426
68,1,-0.39,4,2,2,4,-2.23,2,426
68,1,0.61,5,1,2,4,-3.08,2,426
68,1,0.49,4,2,2,4,-1.37,2,426
68,1,0.21,3,1,1,4,-2.61,2,426
68,1,-0.86,3,8,2,4,-2.97,2,426
68,1,-1.25,2,1,2,4,-2.26,2,426
68,1,-0.28,3,8,2,4,-4.38,2,426
68,1,0.76,5,8,1,4,-2.09,2,426
68,1,0.06,5,1,1,4,-1.47,2,426
68,1,0.41,5,4,1,4,-3.26,2,426
68,1,0.8,5,8,1,4,-2.01,2,426
67,1,0.16,5,2,1,4,1.02,0,790
67,1,-0.4,4,8,1,4,-0.78,0,790
67,1,-0.14,5,8,1,4,1.11,0,790
67,1,0.48,6,5,1,4,0.43,0,790
67,1,-0.51,5,2,1,4,2.12,0,790
67,1,-1.93,5,4,1,4,0.81,0,790
67,1,1.04,6,4,2,4,0.35,0,790
67,1,0.97,6,2,2,4,0.47,0,790
67,1,-0.91,6,2,2,4,0.75,0,790
67,1,1.63,6,4,1,4,4.15,0,790
67,1,-0.3,5,2,2,4,1.67,0,790
67,1,0.45,5,2,2,4,1.66,0,790
67,1,0.07,6,2,1,4,1.19,0,790
67,1,0.41,5,4,1,4,2.97,0,790
67,1,1.29,7,4,1,4,0.48,0,790
67,1,0.25,5,2,2,4,0.64,0,790
67,1,-1.27,5,4,1,4,1.82,0,790
67,1,1.24,6,4,2,4,0.98,0,790
67,1,-0.01,4,4,1,4,0.71,0,790
67,1,-1.48,5,8,1,4,0.44,0,790
67,1,0.07,5,4,2,4,2.03,0,790
67,1,-0.93,6,4,1,4,0.81,0,790
67,1,-0.17,6,4,2,4,1.4,0,790
67,1,0.77,5,4,1,4,0.78,0,790
67,1,0.64,5,8,2,4,-0.35,0,790
67,1,-0.18,5,4,2,4,1.74,0,790
67,1,0.99,6,4,2,4,-0.15,0,790
67,1,1.08,6,8,1,4,-0.5,0,790
67,1,0.05,5,4,2,4,0.8,0,790
67,1,-0.78,6,4,2,4,1.65,0,790
67,1,0.43,4,4,1,4,1.81,0,790
67,1,-0.53,5,4,1,4,2.97,0,790
67,1,0.73,5,2,1,4,1.24,0,790
67,1,0.55,5,5,2,4,0.25,0,790
67,1,0.01,6,4,1,4,-0.65,0,790
67,1,-0.3,5,4,2,4,0.9,0,790
67,1,-0.39,5,4,2,4,1.92,0,790
67,1,-0.6,6,4,1,4,-0.2,0,790
67,1,-1.1,6,4,2,4,1.59,0,790
67,1,0.56,6,8,1,4,1.38,0,790
67,1,-0.64,5,4,2,4,0.95,0,790
67,1,-0.72,5,2,1,4,2.49,0,790
67,1,-0.03,5,4,2,4,1.44,0,790
67,1,0.95,5,2,2,4,2.11,0,790
67,1,0.62,5,4,1,4,1.62,0,790
67,1,1.88,6,2,2,4,-0.34,0,790
67,1,0.53,6,4,1,4,1.18,0,790
67,1,-0.93,5,2,2,4,1.1,0,790
67,1,0.96,7,2,1,4,0.94,0,790
67,1,-0.06,5,2,2,4,1.95,0,790
67,1,-0.1,6,4,2,4,2.66,0,790
67,1,-0.05,7,4,2,4,1.23,0,790
67,1,-0.8,5,4,2,4,2.8,0,790
67,1,-0.22,5,2,2,4,1.22,0,790
67,1,0.42,5,4,1,4,-0.39,0,790
67,1,-1.39,5,2,2,4,1.18,0,790
67,1,-1.43,5,8,1,4,1.65,0,790
67,1,1.18,6,4,1,4,1.04,0,790
67,1,0,7,2,2,4,-0.07,0,790
67,1,0.41,6,8,1,4,1.49,0,790
67,1,0.26,4,4,1,4,0.59,0,790
67,1,1.22,6,1,2,4,2.12,0,790
