"mkt_email","next_mnth_pv","age","tenure","vehicle","kids","clothes","computers","food","furniture","garden","jewelry","music","pets","sports","toys","electronics","beauty","books","games","home","movies","outdoors","shoes","tools","health"
1,239.55,55,9,0,0,1,0,2,1,1,0,1,0,1,1,1,0,2,2,1,0,1,0,0,1
1,255.12,53,2,0,0,4,4,8,1,0,0,1,0,1,0,2,1,1,1,2,0,2,1,0,0
0,144.07,72,6,1,0,2,0,6,0,2,1,3,2,1,1,3,0,2,2,1,0,1,1,0,0
1,150.98,53,0,1,1,1,0,3,0,2,0,3,0,2,0,1,0,5,1,0,1,0,0,1,0
1,138.54,56,3,0,1,1,1,4,1,1,0,0,0,2,1,3,1,0,3,0,0,0,1,0,0
1,189.34,47,6,1,0,3,0,1,2,1,0,1,2,0,2,1,2,3,1,0,2,2,1,1,0
1,228.8,50,2,0,1,1,0,4,0,0,0,1,0,1,1,0,2,3,0,2,0,1,1,3,1
0,144.31,34,5,0,1,3,5,4,0,0,1,0,1,0,1,1,2,1,0,1,0,1,2,1,1
1,153.93,26,2,0,1,1,4,3,0,1,1,0,2,1,1,2,1,2,1,2,0,0,1,0,2
1,188.11,70,3,0,0,1,5,1,1,0,0,4,0,2,1,2,2,2,2,2,0,0,4,0,2
0,95.33,67,4,0,0,2,3,4,1,0,0,0,0,1,0,3,3,2,1,1,2,4,3,1,0
0,91.53,55,2,0,1,3,1,4,0,0,0,1,0,0,0,4,1,0,0,2,1,2,2,0,0
0,197.25,61,0,0,0,3,3,7,0,1,0,0,1,1,1,2,4,2,1,0,1,0,1,0,1
1,223.21,19,5,0,2,1,2,4,2,1,0,1,2,3,3,2,3,2,1,2,0,0,1,1,2
0,166.68,44,5,0,0,3,3,4,0,0,1,0,0,2,1,2,1,0,2,2,1,0,4,0,1
0,206.58,59,4,0,0,3,1,3,0,1,0,1,1,2,0,6,2,0,2,0,0,1,0,2,0
0,229.46,30,3,0,1,2,2,4,2,1,0,0,0,2,1,2,1,4,1,2,1,0,3,0,1
1,180.69,35,6,1,1,3,1,2,1,3,0,1,0,0,1,3,1,1,0,2,0,0,0,0,2
1,184.03,31,7,1,1,3,0,4,0,1,1,0,0,0,1,3,1,3,0,2,0,2,0,0,1
1,129.54,26,0,0,2,1,0,0,0,0,0,1,0,1,1,1,2,3,0,2,2,1,0,0,2
1,203.49,40,7,1,1,4,0,5,0,1,1,1,1,1,1,5,3,1,0,0,1,0,2,0,0
0,119.6,40,0,0,0,1,0,2,1,0,1,2,0,0,1,2,1,2,4,3,0,0,2,0,1
0,188.18,38,3,0,0,7,0,1,1,1,0,0,1,2,0,1,1,3,1,0,0,0,1,0,1
0,130.36,26,1,0,1,2,1,5,0,1,0,0,2,1,2,0,4,2,1,0,0,0,1,1,0
0,194.56,25,2,2,1,2,0,1,1,1,0,0,0,0,0,0,0,3,0,2,0,2,4,0,2
0,221.79,31,7,1,3,1,0,5,0,0,1,3,1,1,1,1,1,2,2,0,3,0,0,0,2
0,119.81,43,5,0,0,0,2,2,0,0,2,2,0,1,1,4,2,1,1,1,2,2,2,0,4
0,217.66,32,5,1,0,1,0,5,1,4,0,1,0,1,0,0,0,1,0,1,1,1,3,1,1
1,123.57,64,0,0,1,0,2,5,0,0,0,1,2,2,1,2,1,0,3,2,0,1,3,1,2
1,176.14,20,4,0,0,4,0,4,2,0,1,1,1,2,1,1,1,0,1,5,1,0,2,1,3
1,158.43,42,6,1,0,1,1,4,0,1,1,2,0,1,0,1,2,2,1,2,0,1,0,1,1
0,251.37,61,6,0,1,4,0,3,0,0,0,1,0,0,0,2,0,2,1,3,0,3,0,0,1
0,73.62,25,2,0,1,2,2,2,0,2,1,1,1,2,1,3,0,3,0,1,2,1,1,1,0
0,181.3,48,6,0,0,1,1,6,0,0,0,0,2,1,1,1,0,1,2,0,1,0,1,0,0
0,92.73,29,1,0,0,1,2,4,0,2,1,1,0,2,2,0,1,0,1,0,3,0,1,1,2
0,170.55,25,8,0,0,3,3,1,0,0,0,0,0,2,0,1,1,2,2,1,1,2,2,3,0
0,185.17,59,2,1,1,2,2,7,2,1,1,0,1,1,2,3,1,0,1,4,1,0,3,0,0
0,227.09,66,6,0,0,2,0,5,0,0,2,1,2,1,1,2,1,1,1,0,1,0,2,0,1
0,218.85,38,5,0,1,1,2,2,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
0,46.89,54,1,0,0,2,4,1,0,0,1,1,0,0,1,2,1,1,0,2,1,1,0,0,2
0,128.15,23,7,0,1,2,2,5,0,2,1,0,0,1,0,1,1,0,1,0,0,2,1,1,0
1,217.33,39,4,0,0,2,3,8,0,2,1,1,0,0,0,0,0,2,0,0,2,0,1,0,1
0,244.84,33,6,0,0,3,0,5,0,0,0,0,0,0,2,1,2,2,1,0,0,0,2,0,0
0,168.64,62,5,0,1,4,3,2,0,0,0,0,2,1,1,4,1,3,2,1,0,0,1,0,2
1,197.13,42,6,0,0,2,0,9,0,2,0,0,0,2,1,2,3,0,0,0,0,1,1,0,0
1,173.5,62,4,0,1,0,2,2,1,1,0,2,1,4,0,3,2,0,3,1,0,2,1,1,1
1,181.96,62,7,0,2,2,2,0,0,0,0,0,2,1,1,0,2,1,0,1,2,0,1,3,0
0,125.72,61,3,0,1,4,1,4,0,1,0,1,1,2,2,4,4,2,2,2,0,0,2,1,1
1,161.44,42,5,0,0,1,2,6,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
0,206.2,59,5,0,1,3,2,6,0,0,0,0,0,0,0,6,2,2,2,0,1,1,1,1,2
0,234.93,52,6,0,3,4,1,4,0,4,0,0,0,0,1,2,1,2,3,0,0,0,1,0,0
0,165.01,56,2,2,1,2,1,1,1,0,1,3,0,0,1,1,1,4,1,1,1,2,0,0,3
0,136.19,18,4,0,1,0,2,3,0,1,1,0,1,3,1,0,0,1,1,0,0,1,2,0,2
0,261.8,44,3,1,1,3,1,4,1,2,0,0,2,0,2,3,2,1,2,0,0,1,3,1,0
1,106.93,30,6,0,2,1,0,2,0,0,0,0,1,0,0,1,2,2,1,1,0,0,1,0,1
0,191.3,39,2,0,0,1,2,5,0,0,0,1,1,0,2,0,1,3,1,1,0,1,0,0,1
0,150.08,51,8,0,1,0,0,4,1,1,1,1,1,2,0,1,3,0,0,2,0,0,2,2,1
0,207.89,37,6,0,0,2,2,2,1,0,0,0,0,0,3,2,2,1,1,3,1,1,1,0,0
0,29.07,24,4,0,0,2,1,2,0,1,0,1,0,0,0,0,4,0,0,2,0,2,2,0,2
0,129.82,31,7,1,1,1,1,3,2,0,0,1,0,1,0,2,1,1,1,1,2,2,0,0,1
0,193.73,54,4,0,1,1,2,5,0,0,0,1,0,2,0,3,0,1,2,0,2,0,1,1,0
1,263.77,41,5,0,0,3,1,4,1,1,2,0,0,0,0,3,3,0,0,1,2,1,0,3,0
0,231.23,61,5,0,0,6,1,2,0,0,0,0,2,3,2,1,3,3,0,1,1,0,1,1,0
1,220,24,5,0,0,4,0,1,0,0,0,0,0,1,1,2,1,1,2,2,2,1,0,0,0
1,201.34,41,3,0,1,2,3,0,1,0,0,2,0,2,1,3,2,1,1,4,1,2,1,0,3
0,129.8,71,1,0,1,0,1,0,0,0,1,1,0,2,1,2,0,1,0,4,1,1,1,1,0
0,193.21,66,0,0,0,1,3,4,0,0,0,1,2,1,1,1,2,3,2,2,1,1,0,0,1
0,127.22,66,3,0,1,4,3,3,0,1,0,1,1,3,1,4,1,2,1,1,0,1,0,2,0
0,208.5,27,6,0,0,0,2,5,0,1,0,2,1,2,0,1,2,0,1,4,1,1,2,1,0
1,153.86,25,3,0,1,2,1,3,0,1,2,2,0,2,1,2,3,0,1,0,1,0,1,0,2
1,184.47,53,1,0,0,1,5,1,0,3,0,1,0,0,1,1,3,0,0,0,1,0,4,0,1
1,255.45,37,9,0,1,2,2,4,0,2,0,1,0,2,1,4,3,4,3,3,0,2,2,0,1
1,267.21,53,6,0,0,0,2,2,0,1,0,1,0,6,0,2,1,2,0,2,1,0,1,0,0
1,129.08,35,9,1,0,1,1,1,0,1,0,2,0,1,1,2,0,0,1,5,0,0,3,0,0
1,164.17,28,7,0,1,0,3,3,0,0,0,1,0,1,2,3,2,0,0,2,0,0,0,1,2
0,214.75,60,2,1,1,1,2,0,1,0,1,1,1,3,4,1,4,1,0,2,3,0,3,0,2
0,261.2,23,3,0,0,4,0,3,2,0,0,0,0,0,0,1,0,1,0,1,1,1,5,1,2
1,136.96,43,0,0,1,1,2,2,2,0,0,0,0,1,0,2,0,0,0,2,3,2,2,1,2
1,162.02,46,6,0,2,1,1,2,0,2,1,1,0,0,1,0,2,0,0,2,1,0,0,0,1
1,182.44,50,8,0,1,6,3,3,0,0,0,1,0,4,0,1,1,1,1,2,1,1,1,0,5
1,138.7,36,2,0,1,2,1,2,2,2,1,1,1,3,1,3,3,0,1,2,0,0,2,0,1
0,188.2,44,1,0,1,5,1,4,1,0,2,2,2,1,0,5,2,4,3,1,1,0,0,0,0
0,203.86,70,6,0,0,3,0,6,0,2,0,0,4,1,0,0,0,1,1,1,4,1,1,1,1
1,209.82,44,0,0,0,2,0,1,0,0,0,1,0,1,0,5,0,5,1,3,1,4,2,2,0
0,167.07,66,9,1,0,2,0,6,0,0,0,4,0,0,1,0,1,3,3,5,0,1,2,0,3
0,164.31,67,5,1,3,5,0,2,1,0,0,0,1,0,2,2,2,0,0,3,0,0,2,0,1
0,140.16,51,0,0,1,3,1,2,1,1,1,0,0,0,1,0,1,1,1,3,2,1,1,1,0
0,155.68,40,5,0,0,0,2,2,0,0,1,1,1,5,0,5,3,2,1,2,1,1,2,2,2
1,237.87,26,4,1,3,3,2,5,1,0,0,1,0,0,2,1,1,2,0,1,3,1,3,0,1
0,168.3,69,0,2,2,3,1,7,0,0,0,0,0,0,0,1,1,1,1,2,1,0,3,1,0
1,116.33,34,4,1,1,2,2,1,1,2,0,1,0,2,0,1,2,1,0,0,2,1,2,0,2
0,172.37,21,3,0,2,1,4,5,1,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,1
0,127.18,69,2,1,1,3,0,0,1,0,0,1,1,1,1,0,1,0,0,3,2,0,2,0,2
0,171.76,57,5,1,0,5,0,5,0,2,0,0,2,1,1,0,1,2,0,0,0,0,1,0,1
1,103.22,26,6,0,0,2,0,3,0,1,1,2,1,1,0,0,2,2,0,0,2,0,1,0,0
0,83.92,48,8,0,0,3,0,2,0,2,0,0,0,0,1,2,1,2,0,1,1,1,1,0,2
0,191.29,70,0,0,0,4,2,1,1,1,1,0,0,3,1,1,0,0,1,2,0,1,1,1,0
0,132.09,50,6,3,1,0,0,4,1,0,0,0,1,2,3,2,2,1,0,2,1,0,2,0,0
1,301,40,2,0,0,1,1,3,0,1,0,0,0,1,0,1,2,0,1,0,2,2,2,0,0
1,209.9,53,7,0,0,3,2,1,0,1,0,7,2,0,0,2,3,2,2,2,0,2,0,2,2
0,140.12,35,5,0,0,3,1,1,0,1,0,3,0,2,0,3,1,1,1,1,0,1,2,0,1
0,191.41,35,8,0,1,0,1,3,0,1,1,4,0,2,0,1,2,0,0,2,0,0,3,0,0
1,247.19,30,0,0,0,0,3,3,0,0,0,0,0,1,2,1,1,1,1,4,0,0,3,0,1
0,177.17,38,5,0,0,5,3,3,0,0,1,0,0,0,2,4,1,2,2,0,1,0,0,2,3
0,101.33,71,5,2,1,0,4,3,4,0,0,0,0,2,0,1,1,1,2,6,1,0,1,0,1
0,207.04,26,7,0,0,0,4,5,0,2,1,1,0,1,0,3,1,1,0,1,1,1,1,2,1
0,128.45,23,3,0,0,1,0,5,1,1,0,4,0,1,3,0,1,2,0,1,1,0,2,0,2
1,121.68,26,7,0,0,0,1,6,0,0,1,0,2,0,2,2,1,1,3,4,1,1,1,0,1
0,240.72,55,3,0,1,1,0,4,0,1,0,0,1,0,0,1,1,2,2,4,1,1,1,0,2
1,159.58,51,3,0,2,2,2,2,0,2,1,4,0,2,1,0,2,2,1,4,0,2,1,2,2
0,217.37,66,4,0,1,1,1,0,2,0,1,1,0,1,1,0,0,1,1,2,1,0,0,1,0
0,223.13,54,1,0,1,1,1,5,0,0,0,2,0,2,2,1,0,1,1,2,0,0,2,1,1
1,227.54,58,3,1,0,4,1,7,0,1,0,2,1,2,1,2,1,1,0,1,1,2,0,1,0
1,258.84,46,7,0,0,2,5,4,1,0,1,1,0,1,3,1,1,1,0,2,0,0,2,0,2
0,102.48,54,8,0,0,1,1,4,0,0,2,2,0,0,1,2,1,3,0,4,1,0,1,0,1
0,130.31,62,7,0,2,0,1,4,0,0,0,1,1,0,0,1,3,2,2,1,2,0,1,0,0
0,166.16,60,3,0,0,4,1,3,1,0,0,0,1,1,1,1,1,2,1,1,1,0,1,0,2
1,140.79,71,5,0,2,0,2,2,1,2,0,1,1,4,0,0,1,0,0,1,2,2,0,1,1
0,180.27,42,4,0,1,0,1,2,0,0,0,0,0,0,1,1,3,2,1,6,1,0,2,1,1
1,214.44,35,1,0,1,3,2,4,0,0,0,0,3,1,1,2,1,1,1,2,2,3,1,1,1
0,59.83,40,5,1,1,5,1,3,2,1,0,2,3,0,2,0,4,1,1,4,3,0,0,1,1
0,180.07,19,2,0,3,1,1,1,1,1,0,2,1,1,1,3,2,1,4,0,1,1,1,1,1
1,151.85,28,1,0,0,1,1,4,0,0,0,2,0,2,1,0,2,1,2,4,1,0,3,1,1
1,148.04,64,6,1,0,1,2,1,1,0,0,1,1,2,1,5,2,0,1,0,1,0,2,3,0
1,153.51,30,2,0,1,3,0,3,0,1,0,1,0,0,0,0,1,3,0,0,0,0,1,0,1
1,132.34,31,4,0,0,3,4,5,2,1,0,0,1,1,0,2,2,2,2,2,0,1,2,0,1
0,82.84,22,2,0,1,0,4,2,1,0,0,3,0,0,0,2,3,1,1,0,0,1,0,0,2
0,209.64,31,4,0,0,0,2,4,0,0,0,0,1,3,2,0,1,0,0,0,1,1,1,0,1
1,244.7,58,5,0,1,0,2,0,0,1,1,1,0,1,0,2,2,2,2,1,1,0,2,0,1
1,141.02,64,5,1,0,1,2,3,0,1,0,1,0,4,1,3,0,1,2,1,2,2,2,0,0
1,289.88,45,1,0,0,3,1,3,0,2,2,0,0,3,3,0,0,2,0,1,0,0,1,1,1
0,221.58,39,7,1,0,0,0,4,0,3,2,0,0,2,0,1,1,1,0,0,1,1,0,2,1
1,137.04,31,8,0,0,3,1,2,0,1,0,0,0,2,1,2,1,1,2,1,0,0,1,0,2
1,166.49,24,5,0,2,4,2,4,1,1,0,1,0,0,1,6,0,1,1,3,0,0,1,0,1
1,231.24,39,4,0,1,4,0,5,0,1,1,0,0,2,0,1,1,1,0,2,0,0,1,0,0
1,209.09,49,4,1,2,3,2,3,2,1,1,1,0,2,1,2,1,2,3,1,1,1,0,0,3
1,174.75,30,5,0,1,2,2,2,1,0,1,0,1,0,1,4,1,1,3,2,0,1,2,0,0
1,238.69,42,5,0,1,2,2,5,0,1,1,1,1,1,0,3,0,3,0,3,1,0,1,0,1
0,172.6,30,4,0,0,1,3,1,0,1,0,2,1,2,2,4,2,0,0,0,0,1,2,1,1
0,251.34,45,6,1,0,3,1,3,2,0,0,1,0,1,0,1,3,1,0,1,1,1,3,0,1
1,113.37,37,3,1,1,2,1,1,1,1,0,0,0,2,1,2,2,2,2,4,0,0,0,2,0
0,128.05,53,7,0,0,4,2,5,0,0,0,0,0,2,1,3,1,2,3,3,0,0,0,1,1
0,171.98,38,4,0,0,1,1,7,0,1,1,3,2,1,1,3,3,0,2,5,1,1,0,0,1
0,159.46,37,0,1,2,1,3,5,0,3,1,0,0,0,2,2,1,1,1,0,1,0,0,0,2
0,139.12,47,4,0,2,3,4,7,0,0,0,1,0,2,0,2,1,0,0,2,2,2,1,1,2
0,171.59,58,5,0,0,1,1,1,0,0,0,1,2,0,0,4,2,0,2,1,0,3,0,1,1
0,153.62,30,7,1,1,4,2,3,0,1,0,2,0,0,1,1,1,2,2,1,0,2,1,0,0
1,282.45,40,4,1,0,2,2,4,1,0,0,1,0,0,2,1,3,1,1,2,1,3,3,0,0
0,139.82,32,0,1,0,3,1,2,2,1,1,1,0,3,1,2,2,2,1,1,0,0,1,1,1
1,246.83,52,4,0,0,3,0,4,1,2,2,1,1,0,2,1,0,1,0,2,0,1,0,0,0
1,205.44,28,1,0,1,0,2,4,1,0,0,2,0,4,1,2,2,0,0,2,1,0,2,0,0
1,139.11,65,2,0,0,2,0,3,1,1,0,0,0,1,1,0,1,2,0,3,1,0,1,1,1
0,176.02,58,1,0,1,1,1,2,2,1,0,2,1,1,0,1,2,3,0,2,2,1,2,2,2
0,136.14,54,2,0,1,2,2,1,2,0,1,2,1,0,2,1,1,4,0,2,1,0,1,0,0
1,177.91,51,7,0,0,2,2,3,0,1,0,1,0,1,0,3,1,2,0,3,1,1,0,2,2
1,208.14,38,2,0,1,2,3,1,1,0,0,0,0,2,0,1,4,2,2,2,0,0,1,0,1
0,204.4,47,3,0,2,4,4,1,0,0,0,1,1,2,0,2,0,1,1,0,2,0,0,0,0
0,193.24,65,4,0,1,1,2,6,1,0,1,0,0,1,0,2,2,4,1,0,1,2,0,1,0
1,163.74,49,6,0,1,2,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,197.46,63,2,0,0,1,2,5,0,1,1,1,1,1,0,3,1,4,0,0,1,1,1,0,2
1,136.45,35,2,2,1,2,2,4,2,2,0,0,0,0,2,2,2,4,3,2,1,2,1,0,1
1,134.1,56,3,1,0,1,0,2,4,0,1,1,1,0,1,1,2,2,1,0,0,1,3,1,0
1,225.82,32,1,0,0,3,2,2,1,1,1,2,0,3,0,5,1,3,2,3,2,0,0,2,3
1,152.79,50,6,0,3,1,3,0,0,0,0,0,0,0,0,1,3,0,1,3,0,2,1,0,1
0,146.35,44,0,1,3,1,2,1,1,0,0,1,0,2,2,2,0,2,0,2,3,0,1,1,1
1,144.23,32,3,0,1,2,3,1,0,2,1,2,0,4,0,3,3,0,1,3,2,0,1,0,1
0,101.42,48,0,1,0,2,2,1,3,1,0,1,0,3,0,2,2,1,0,2,1,0,2,0,3
0,201.93,67,0,0,2,0,2,1,0,1,0,2,0,2,0,1,1,1,2,3,0,3,2,1,0
1,256.14,67,4,0,1,1,0,6,2,0,2,2,0,0,1,2,2,0,0,2,0,2,1,0,2
0,83.24,33,8,0,0,2,2,2,1,0,2,1,0,4,0,4,0,1,2,1,1,1,2,1,2
1,208.42,35,8,0,0,3,5,2,2,1,0,3,0,1,0,3,2,1,3,3,1,2,1,0,0
0,202.45,71,3,1,0,1,2,4,0,1,0,1,1,0,1,0,0,2,0,1,1,1,1,0,1
1,237.71,51,2,0,1,0,1,5,0,1,1,2,0,0,4,2,2,2,0,0,0,0,1,0,2
0,106.23,69,3,1,1,2,2,4,1,0,0,2,0,0,1,2,2,2,0,2,2,0,3,0,2
0,165.94,43,6,0,2,5,4,3,1,2,1,1,1,2,1,3,0,2,0,1,1,2,0,2,1
1,135.09,40,0,0,0,2,3,3,1,0,0,0,2,1,2,2,0,2,1,0,2,0,1,0,2
1,176.17,54,5,0,0,5,2,4,1,0,0,1,1,5,1,2,1,2,2,2,2,2,3,1,0
0,131.35,26,3,0,1,7,0,0,2,1,0,1,0,2,2,4,0,1,2,1,2,1,1,1,1
1,148.19,49,2,0,0,0,0,1,0,1,0,0,0,3,1,2,1,2,3,1,1,1,1,1,0
0,183.67,31,0,0,1,2,0,5,0,2,1,2,1,0,1,1,4,2,0,1,1,1,0,2,1
1,157.25,70,3,0,1,1,4,0,1,1,1,1,1,3,3,2,3,1,3,0,0,0,2,0,2
0,217.02,50,0,0,2,3,1,1,0,2,1,1,1,1,3,0,2,1,0,2,0,1,2,1,2
0,169.55,46,4,0,4,3,1,5,0,3,1,3,0,0,0,1,2,0,2,1,0,1,0,0,0
0,238.99,40,2,0,1,4,2,1,1,0,0,2,0,2,0,4,0,1,1,3,1,1,1,1,1
1,175.43,66,4,2,0,1,4,0,1,0,0,1,0,1,0,1,1,0,2,1,4,2,2,0,0
0,149.65,38,5,0,0,3,1,6,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,2
0,137.45,34,3,0,0,0,1,3,2,1,0,2,0,1,1,1,1,0,0,1,1,0,0,0,2
1,228.88,27,1,0,0,1,3,2,1,0,0,2,0,2,1,2,0,1,2,1,1,3,1,0,2
1,178.22,27,2,0,0,0,5,1,0,0,1,0,1,1,2,3,2,1,2,2,1,1,1,0,0
0,138.88,44,2,1,1,1,2,1,1,0,1,2,0,0,0,2,0,0,2,2,0,0,0,0,1
0,135.25,32,0,0,0,1,4,2,1,1,0,1,0,2,1,3,1,0,0,1,2,0,2,0,1
0,220.94,30,2,0,3,1,4,5,0,0,0,1,0,1,0,2,3,1,0,1,0,1,1,0,1
1,215.54,54,4,0,3,1,1,4,0,0,0,1,0,0,0,3,0,1,2,0,2,3,1,0,1
1,157.83,21,3,0,0,1,0,5,1,1,1,2,1,0,2,0,6,1,1,2,3,0,2,1,0
0,189.46,56,5,1,1,2,1,4,0,2,0,2,0,3,2,1,1,3,1,1,0,0,1,2,3
0,259.84,37,7,0,0,3,0,3,1,0,1,2,0,0,0,3,1,0,1,4,0,0,0,1,2
0,185.92,40,5,0,1,5,1,3,0,1,3,0,1,2,1,0,3,1,0,1,0,0,0,0,0
0,181.73,62,8,0,0,0,1,5,2,0,0,0,0,2,0,3,3,1,0,0,1,2,0,1,0
1,151.71,68,2,0,0,2,0,3,0,0,0,0,2,2,0,4,4,1,1,1,1,0,0,2,3
0,139.39,33,7,1,0,5,1,5,1,0,2,0,0,3,3,1,1,1,0,2,0,1,1,2,1
1,259.25,70,5,0,0,0,1,1,2,1,0,2,0,0,0,3,0,1,1,2,2,1,2,0,2
1,293.5,57,1,0,0,2,0,4,1,1,0,1,0,0,1,4,1,3,0,3,2,2,3,4,0
0,180.24,55,5,0,0,2,1,3,0,2,1,0,0,1,1,1,2,0,0,0,2,2,0,0,0
1,158.42,21,1,1,1,1,0,4,0,2,1,0,1,0,0,1,1,2,3,3,1,1,2,0,2
1,165.58,39,6,0,2,1,1,3,0,1,0,0,0,2,1,1,2,1,0,2,1,1,0,0,2
0,156.4,44,3,0,1,1,1,4,1,1,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1
0,200.43,48,3,0,0,2,3,5,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,1
0,262.68,56,2,0,4,3,0,6,0,0,2,3,1,0,0,3,3,1,0,1,2,1,2,1,1
1,149.29,67,2,0,1,2,3,7,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,2,1
0,104.94,51,8,0,1,0,0,4,0,1,2,3,0,0,1,2,0,0,0,1,1,1,3,0,0
0,158.3,41,6,1,2,1,3,3,2,1,1,1,0,0,1,2,2,4,1,0,1,0,2,0,0
0,265.37,47,6,0,1,3,1,7,1,1,0,2,0,2,1,1,1,1,0,0,0,0,0,0,2
0,157.17,21,4,0,1,4,0,3,0,1,0,3,1,2,1,1,0,1,0,2,1,0,0,1,0
0,202.52,32,6,1,4,1,0,1,1,0,0,0,1,2,1,1,2,1,1,2,1,2,3,0,1
0,155.75,39,6,0,2,2,2,4,0,1,0,2,0,1,0,1,3,3,0,1,1,1,1,0,1
0,80.52,29,8,0,0,3,0,1,1,0,0,3,1,1,1,1,4,1,1,4,0,0,0,0,2
1,181,63,6,1,0,2,1,1,0,0,0,0,1,5,1,1,5,2,1,0,0,0,1,0,0
1,166.88,26,3,0,0,2,2,8,1,0,0,0,1,2,0,2,4,1,0,1,1,0,1,0,2
0,222.73,61,3,0,1,4,0,4,0,1,0,0,0,0,1,1,2,0,1,2,0,2,0,0,1
0,164.37,48,3,1,0,2,0,2,1,3,0,0,1,0,1,2,0,2,0,1,2,1,2,0,0
1,149.56,54,3,0,0,3,3,0,1,0,0,1,1,1,1,4,1,2,2,2,2,0,0,0,1
1,191.89,27,3,2,0,1,1,2,2,1,0,0,0,0,1,1,0,0,1,2,0,2,1,0,0
0,118.8,52,7,0,0,2,3,6,1,2,3,0,1,2,1,2,1,2,2,1,2,2,0,0,1
0,168.67,35,0,0,1,1,3,3,0,1,1,0,0,1,2,6,0,0,1,2,1,1,0,0,1
1,177.96,57,2,0,1,2,1,5,1,1,1,0,0,1,1,3,4,1,0,2,0,0,3,1,0
0,92.51,40,4,0,0,3,0,3,0,0,1,1,0,2,1,3,2,1,0,1,1,1,2,0,3
1,81.6,70,1,0,2,0,1,5,0,1,0,2,2,1,1,0,2,1,1,3,1,1,1,0,1
0,159.63,70,8,0,1,0,3,3,1,0,2,2,0,1,0,4,1,0,1,0,2,1,0,0,1
0,212.63,57,3,1,1,1,1,2,0,1,0,3,2,2,1,1,0,1,0,0,2,0,6,0,0
1,171.07,32,1,0,1,2,0,7,0,1,1,0,0,0,0,1,0,0,2,1,1,0,2,0,2
0,177.57,30,2,1,2,2,3,3,0,0,2,3,1,2,2,0,3,3,0,1,0,0,0,0,2
1,206.81,50,6,0,2,1,0,2,0,0,0,1,0,5,1,4,2,2,1,2,0,2,0,0,0
1,223.4,32,9,0,1,5,2,5,0,0,2,0,0,5,0,1,2,2,0,2,0,2,0,1,1
0,128.59,47,4,1,0,0,1,2,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,1,4
