"product","Y","date","post","treatment"
"jabalaya_pink",2.16,2021-03-17,0,0
"jabalaya_pink",1.01,2021-03-18,0,0
"jabalaya_pink",20.82,2021-03-19,0,0
"jabalaya_pink",28.02,2021-03-20,0,0
"jabalaya_pink",40.08,2021-03-21,0,0
"jabalaya_pink",45.01,2021-03-22,0,0
"jabalaya_pink",28.42,2021-03-23,0,0
"jabalaya_pink",27.71,2021-03-24,0,0
"jabalaya_pink",29.34,2021-03-25,0,0
"jabalaya_pink",37.79,2021-03-26,0,0
"jabalaya_pink",40.94,2021-03-27,0,0
"jabalaya_pink",58.29,2021-03-28,0,0
"jabalaya_pink",58.31,2021-03-29,0,0
"jabalaya_pink",32.92,2021-03-30,0,0
"jabalaya_pink",32.15,2021-03-31,0,0
"jabalaya_pink",34.47,2021-04-01,1,0
"jabalaya_pink",32.58,2021-04-02,1,0
"jabalaya_pink",31.45,2021-04-03,1,0
"jabalaya_pink",47.99,2021-04-04,1,0
"jabalaya_pink",49.86,2021-04-05,1,0
"jabalaya_pink",6,2021-04-06,1,0
"jabalaya_pink",25.28,2021-04-07,1,0
"jabalaya_pink",28.11,2021-04-08,1,0
"jabalaya_pink",31.91,2021-04-09,1,0
"jabalaya_pink",38.32,2021-04-10,1,0
"jabalaya_pink",51.22,2021-04-11,1,0
"jabalaya_pink",55.92,2021-04-12,1,0
"jabalaya_pink",40.15,2021-04-13,1,0
"jabalaya_pink",31.85,2021-04-14,1,0
"jabalaya_pink",33.37,2021-04-15,1,0
"avocado_rain",43.86,2021-02-01,0,0
"avocado_rain",27.42,2021-02-02,0,0
"avocado_rain",27.31,2021-02-03,0,0
"avocado_rain",22.84,2021-02-04,0,0
"avocado_rain",24.35,2021-02-05,0,0
"avocado_rain",34.56,2021-02-06,0,0
"avocado_rain",49.76,2021-02-07,0,0
"avocado_rain",41.9,2021-02-08,0,0
"avocado_rain",30.38,2021-02-09,0,0
"avocado_rain",31.22,2021-02-10,0,0
"avocado_rain",29.72,2021-02-11,0,0
"avocado_rain",27.23,2021-02-12,0,0
"avocado_rain",36.85,2021-02-13,0,0
"avocado_rain",50.69,2021-02-14,0,0
"avocado_rain",48.52,2021-02-15,0,0
"avocado_rain",31.41,2021-02-16,0,0
"avocado_rain",27.34,2021-02-17,0,0
"avocado_rain",24.59,2021-02-18,0,0
"avocado_rain",29.1,2021-02-19,0,0
"avocado_rain",36.16,2021-02-20,0,0
"avocado_rain",58.71,2021-02-21,0,0
"avocado_rain",43.23,2021-02-22,0,0
"avocado_rain",30.09,2021-02-23,0,0
"avocado_rain",31.28,2021-02-24,0,0
"avocado_rain",42.71,2021-02-25,0,0
"avocado_rain",31.42,2021-02-26,0,0
"avocado_rain",34.91,2021-02-27,0,0
"avocado_rain",55.52,2021-02-28,0,0
"avocado_rain",43.46,2021-03-01,0,0
"avocado_rain",30.29,2021-03-02,0,0
"avocado_rain",27.44,2021-03-03,0,0
"avocado_rain",23.99,2021-03-04,0,0
"avocado_rain",26.82,2021-03-05,0,0
"avocado_rain",32.1,2021-03-06,0,0
"avocado_rain",46.93,2021-03-07,0,0
"avocado_rain",38.91,2021-03-08,0,0
"avocado_rain",27.92,2021-03-09,0,0
"avocado_rain",26.2,2021-03-10,0,0
"avocado_rain",31.13,2021-03-11,0,0
"avocado_rain",33.08,2021-03-12,0,0
"avocado_rain",36.3,2021-03-13,0,0
"avocado_rain",61.39,2021-03-14,0,0
"avocado_rain",46.16,2021-03-15,0,0
"avocado_rain",31.11,2021-03-16,0,0
"avocado_rain",28.98,2021-03-17,0,0
"avocado_rain",25.31,2021-03-18,0,0
"avocado_rain",27.25,2021-03-19,0,0
"avocado_rain",32.1,2021-03-20,0,0
"avocado_rain",53.83,2021-03-21,0,0
"avocado_rain",38.71,2021-03-22,0,0
"avocado_rain",26.88,2021-03-23,0,0
"avocado_rain",23.69,2021-03-24,0,0
"avocado_rain",27.03,2021-03-25,0,0
"avocado_rain",32.18,2021-03-26,0,0
"avocado_rain",40.61,2021-03-27,0,0
"avocado_rain",56.77,2021-03-28,0,0
"avocado_rain",44.49,2021-03-29,0,0
"avocado_rain",29.79,2021-03-30,0,0
"avocado_rain",26.62,2021-03-31,0,0
"avocado_rain",22.97,2021-04-01,1,0
"avocado_rain",23.99,2021-04-02,1,0
"avocado_rain",28.3,2021-04-03,1,0
"avocado_rain",50.38,2021-04-04,1,0
"avocado_rain",42.86,2021-04-05,1,0
"avocado_rain",23.16,2021-04-06,1,0
"avocado_rain",24.11,2021-04-07,1,0
"avocado_rain",25.82,2021-04-08,1,0
"avocado_rain",27.12,2021-04-09,1,0
"avocado_rain",35.93,2021-04-10,1,0
"avocado_rain",55.39,2021-04-11,1,0
"avocado_rain",47.33,2021-04-12,1,0
"avocado_rain",33.96,2021-04-13,1,0
"avocado_rain",30.05,2021-04-14,1,0
"avocado_rain",26.05,2021-04-15,1,0
"retro_western",32.26,2021-02-01,0,1
"retro_western",24.73,2021-02-02,0,1
"retro_western",21.98,2021-02-03,0,1
"retro_western",23.42,2021-02-04,0,1
"retro_western",23.25,2021-02-05,0,1
"retro_western",28.96,2021-02-06,0,1
"retro_western",35.59,2021-02-07,0,1
"retro_western",29.44,2021-02-08,0,1
"retro_western",30.09,2021-02-09,0,1
"retro_western",24.41,2021-02-10,0,1
"retro_western",30.33,2021-02-11,0,1
"retro_western",29.86,2021-02-12,0,1
"retro_western",32.95,2021-02-13,0,1
"retro_western",38.95,2021-02-14,0,1
"retro_western",29.95,2021-02-15,0,1
"retro_western",25.71,2021-02-16,0,1
"retro_western",25.12,2021-02-17,0,1
"retro_western",22.09,2021-02-18,0,1
"retro_western",29.69,2021-02-19,0,1
"retro_western",28.64,2021-02-20,0,1
"retro_western",37.88,2021-02-21,0,1
"retro_western",31.71,2021-02-22,0,1
"retro_western",28.13,2021-02-23,0,1
"retro_western",27.82,2021-02-24,0,1
"retro_western",31.24,2021-02-25,0,1
"retro_western",28.91,2021-02-26,0,1
"retro_western",31.15,2021-02-27,0,1
"retro_western",38.47,2021-02-28,0,1
"retro_western",29.45,2021-03-01,0,1
"retro_western",26.63,2021-03-02,0,1
"retro_western",24.72,2021-03-03,0,1
"retro_western",24.62,2021-03-04,0,1
"retro_western",25.1,2021-03-05,0,1
"retro_western",27.52,2021-03-06,0,1
"retro_western",36.52,2021-03-07,0,1
"retro_western",24.86,2021-03-08,0,1
"retro_western",21.38,2021-03-09,0,1
"retro_western",23.55,2021-03-10,0,1
"retro_western",27.26,2021-03-11,0,1
"retro_western",28.88,2021-03-12,0,1
"retro_western",34.75,2021-03-13,0,1
"retro_western",41.98,2021-03-14,0,1
"retro_western",30.52,2021-03-15,0,1
"retro_western",26.04,2021-03-16,0,1
"retro_western",24.22,2021-03-17,0,1
"retro_western",25.28,2021-03-18,0,1
"retro_western",22.04,2021-03-19,0,1
"retro_western",28.96,2021-03-20,0,1
"retro_western",36.43,2021-03-21,0,1
"retro_western",30.8,2021-03-22,0,1
"retro_western",25.58,2021-03-23,0,1
"retro_western",25.69,2021-03-24,0,1
"retro_western",24.86,2021-03-25,0,1
"retro_western",32.41,2021-03-26,0,1
"retro_western",32.99,2021-03-27,0,1
"retro_western",39.01,2021-03-28,0,1
"retro_western",31.62,2021-03-29,0,1
"retro_western",29.1,2021-03-30,0,1
"retro_western",28.54,2021-03-31,0,1
"retro_western",28.43,2021-04-01,1,1
"retro_western",24.88,2021-04-02,1,1
"retro_western",29.63,2021-04-03,1,1
"retro_western",35.14,2021-04-04,1,1
"retro_western",30.94,2021-04-05,1,1
"retro_western",25.56,2021-04-06,1,1
"retro_western",32.68,2021-04-07,1,1
"retro_western",35.73,2021-04-08,1,1
"retro_western",35.58,2021-04-09,1,1
"retro_western",41.43,2021-04-10,1,1
"retro_western",51.97,2021-04-11,1,1
"retro_western",40.55,2021-04-12,1,1
"retro_western",34.04,2021-04-13,1,1
"retro_western",32.33,2021-04-14,1,1
"retro_western",30.8,2021-04-15,1,1
