"customer_id","free_shipping","customer_type","order_total","visit_duration","purchase"
"C20199","no","new",0,13.3,FALSE
"C36085","no","new",0,14.7,FALSE
"C51429","no","returning",0,14.3,FALSE
"C67929","no","new",0,11.1,FALSE
"C95979","no","returning",56.15,5.9,TRUE
"C85853","no","new",0,3.5,FALSE
"C64102","no","returning",48.82,14.8,TRUE
"C81938","no","new",0,14.6,FALSE
"C59812","no","new",0,19.5,FALSE
"C66231","no","returning",0,13.8,TRUE
"C56694","no","new",3.28,5.3,TRUE
"C45760","no","new",0,15.3,FALSE
"C77052","no","returning",0,5.7,FALSE
"C76194","no","returning",0,9,FALSE
"C48519","no","returning",0,1,FALSE
"C12738","no","returning",0,11.1,FALSE
"C94818","no","returning",0,7.3,FALSE
"C34272","no","returning",57.09,8.3,TRUE
"C96478","no","returning",47.89,10.5,TRUE
"C13610","no","new",0,18,FALSE
"C59753","no","returning",0,11.7,FALSE
"C27213","no","returning",26.16,6.5,TRUE
"C38500","no","new",0,10.7,FALSE
"C95983","no","new",0,11.9,FALSE
"C18420","no","returning",70.11,20,TRUE
"C12352","no","returning",0,10.3,FALSE
"C93801","no","returning",45.12,26.9,TRUE
"C98867","no","new",0,10.3,FALSE
"C59723","no","returning",49.57,4.4,TRUE
"C90501","no","returning",0,9.3,FALSE
"C76434","no","returning",47.36,7.1,TRUE
"C59025","no","returning",0,6.6,FALSE
"C31520","no","new",0,9.9,FALSE
"C87132","no","returning",0,7,FALSE
"C71778","no","returning",31.99,4.1,TRUE
"C38706","no","returning",0,7.6,FALSE
"C44627","no","returning",0,11.3,FALSE
"C77336","no","returning",69.2,9.9,TRUE
"C23908","no","returning",0,4.8,FALSE
"C36942","no","returning",0,12.3,FALSE
"C10019","no","new",0,13.5,FALSE
"C27709","no","returning",57.99,8.7,TRUE
"C40761","no","new",0,6.3,FALSE
"C65008","no","returning",0,13.9,FALSE
"C57944","no","new",0,13.1,FALSE
"C76818","no","returning",0,7,FALSE
"C36929","no","new",0,14.8,FALSE
"C36094","no","new",0,10.5,FALSE
"C85013","no","new",30.76,5.4,TRUE
"C12844","no","new",13.62,9.8,TRUE
"C88735","no","new",9.04,3.1,TRUE
"C56348","no","new",0,18.7,FALSE
"C69880","no","new",30.68,14.9,TRUE
"C86043","no","new",0,13.9,FALSE
"C79995","no","new",30.46,4.8,TRUE
"C91829","no","new",0,2.1,FALSE
"C29148","no","returning",24.31,5.4,TRUE
"C97072","no","new",1.92,13.2,TRUE
"C82736","no","new",0,19.1,FALSE
"C35033","no","new",0,9.1,FALSE
"C53319","no","returning",0,7.5,FALSE
"C73692","no","new",0,9.8,FALSE
"C76399","no","returning",53.63,14.2,TRUE
"C60045","no","returning",51.24,7.1,TRUE
"C49632","no","new",0,16.1,FALSE
"C95754","no","new",0,14,FALSE
"C19610","no","new",0,14.3,FALSE
"C31431","no","returning",0,10.4,FALSE
"C59425","no","new",0,10.4,FALSE
"C68894","no","returning",30.8,5.3,TRUE
"C68384","no","new",0,7.1,FALSE
"C60435","no","returning",0,11.3,FALSE
"C75210","no","new",0,10,FALSE
"C71539","no","new",32.62,10.4,TRUE
"C24949","no","returning",46.41,7.4,TRUE
"C53132","no","returning",0,14.5,FALSE
"C72865","no","returning",45.47,8.6,TRUE
"C44287","no","new",0,18.5,FALSE
"C38660","no","returning",0,11.5,FALSE
"C28769","no","new",0,14.9,FALSE
"C25854","no","returning",0,9.6,FALSE
"C33461","no","new",0,11.7,FALSE
"C37865","no","returning",54.21,13.8,TRUE
"C16044","no","returning",0,15.9,FALSE
"C72508","no","returning",40.46,7.6,TRUE
"C61693","no","new",0,13.4,FALSE
"C63582","no","returning",0,9.5,FALSE
"C65264","no","returning",22.78,10.5,TRUE
"C65207","no","new",0,17.1,FALSE
"C50344","no","returning",0,18.2,FALSE
"C62892","no","new",31.69,13.2,TRUE
"C16832","no","new",0,6.6,FALSE
"C84201","no","returning",38.59,8.8,TRUE
"C72458","no","returning",51.72,9.1,TRUE
"C20992","no","new",29.26,14.4,TRUE
"C64111","no","returning",61.39,14.8,TRUE
"C65091","no","new",11.21,11.7,TRUE
"C72844","no","returning",74.06,10.5,TRUE
"C70425","no","new",0,6.8,FALSE
"C30411","no","returning",0,17.7,FALSE
"C35376","no","returning",0,7.7,FALSE
"C40385","no","new",0,11.1,FALSE
"C72464","no","returning",15.97,14.3,TRUE
"C67435","no","new",48.39,13.9,TRUE
"C62312","no","returning",0,11.5,FALSE
"C52843","no","returning",45.04,6.8,TRUE
"C89579","no","returning",0,15.1,FALSE
"C44200","no","new",0,13.2,FALSE
"C24054","no","new",0,9.5,FALSE
"C29529","no","returning",46.91,10.6,TRUE
"C47623","no","new",0,12.9,FALSE
"C69731","no","returning",39.44,11.4,TRUE
"C12253","no","new",0,9.5,FALSE
"C20193","no","new",0,11,FALSE
"C61188","no","returning",24.69,13,TRUE
"C90136","no","returning",0,13.6,FALSE
"C81476","no","returning",0,16.1,FALSE
"C83700","no","returning",28.26,10.7,TRUE
"C97177","no","returning",48.57,9.8,TRUE
"C41223","no","new",51.95,3.7,TRUE
"C74872","no","new",0,4.5,FALSE
"C58537","no","new",0,15.8,FALSE
"C85031","no","returning",58.2,0.6,TRUE
"C12070","no","new",33.9,13,TRUE
"C35801","no","returning",31.93,2,TRUE
"C11325","no","returning",0,15.3,FALSE
"C52627","no","returning",34.37,7.5,TRUE
"C64139","no","returning",15.5,5.6,TRUE
"C64514","no","returning",36.36,13.7,TRUE
"C16409","no","new",0,0.3,FALSE
"C70193","no","new",19.37,4.3,TRUE
"C97057","no","new",0,12.2,FALSE
"C99415","no","returning",46.96,9.8,TRUE
"C15911","no","returning",11.49,2,TRUE
"C51620","no","returning",30.9,10.5,TRUE
"C66475","no","new",0,14.1,FALSE
"C19105","no","returning",48.68,13.4,TRUE
"C67352","no","returning",23.92,12.9,TRUE
"C82677","no","new",29.28,2.8,TRUE
"C69660","no","new",0,1.2,FALSE
"C86413","no","returning",0,10,FALSE
"C73683","no","returning",0,14.1,FALSE
"C51415","no","returning",0,12.1,FALSE
"C80928","no","returning",0,11.8,FALSE
"C97403","no","new",0,11.4,FALSE
"C41610","no","returning",0,6.4,FALSE
"C35449","no","new",0,15.7,FALSE
"C41408","no","returning",26.13,12.5,TRUE
"C84580","no","new",0,12.7,FALSE
"C94162","no","returning",0,7.9,FALSE
"C80007","no","returning",29.71,7.2,TRUE
"C69707","no","returning",32.48,4.1,TRUE
"C13501","no","new",37.97,13.7,TRUE
"C46715","no","new",0,10.8,FALSE
"C30756","no","returning",53.96,10.2,TRUE
"C50056","no","returning",35.1,0.1,TRUE
"C87938","no","new",25.43,4.4,TRUE
"C10654","no","returning",0,13.3,FALSE
"C30607","no","new",0,11.7,FALSE
"C49344","no","returning",33.98,10.3,TRUE
"C81924","no","new",38.28,9.4,TRUE
"C55369","no","returning",0,9.5,FALSE
"C80456","no","new",22.1,8.2,TRUE
"C22011","no","returning",36.94,1.1,TRUE
"C62786","no","returning",55.42,15.5,TRUE
"C23488","no","returning",21.73,11.5,TRUE
"C14647","no","new",0,9,FALSE
"C47433","no","new",0,4.7,FALSE
"C46481","no","returning",0,5.2,FALSE
"C85070","no","returning",51.46,10.5,TRUE
"C82733","no","new",0,12.5,FALSE
"C92617","no","returning",0,15.2,FALSE
"C35143","no","new",0,14.2,FALSE
"C13146","no","new",35.01,5.6,TRUE
"C87660","no","new",15.32,6.6,TRUE
"C82905","no","returning",43.65,17.1,TRUE
"C55383","no","new",19.94,6,TRUE
"C96822","no","returning",0,11.3,FALSE
"C54755","no","new",0,11.8,FALSE
"C45587","no","returning",0,10.4,FALSE
"C83858","no","new",30.15,10.7,TRUE
"C16901","no","new",32.12,6.7,TRUE
"C24315","no","new",0,17.9,FALSE
"C12256","no","new",0,8.8,FALSE
"C14520","no","new",26.63,5,TRUE
"C21868","no","new",0,12.2,FALSE
"C15249","no","new",52.51,17,TRUE
"C29868","no","new",0,10.3,FALSE
"C59455","no","returning",0,19.3,FALSE
"C47494","no","returning",6.48,2,TRUE
"C25376","no","returning",42.62,6.3,TRUE
"C62810","no","returning",0,14,FALSE
"C69868","no","new",0,3.6,FALSE
"C31403","no","returning",42.05,10.9,TRUE
"C65681","no","returning",1.23,0.3,TRUE
"C23070","no","returning",51.62,9.1,TRUE
"C11710","no","returning",0,16.6,FALSE
"C51103","no","returning",29.75,11.8,TRUE
"C12125","no","returning",38.24,11.2,TRUE
"C12200","no","returning",0,4,FALSE
"C46437","no","returning",21.5,5.9,TRUE
"C34542","no","new",0,7.4,FALSE
"C98813","no","returning",0,12,FALSE
"C60775","no","returning",0,6.4,FALSE
"C79667","no","new",0,0.9,FALSE
"C73892","no","returning",52.07,1.3,TRUE
"C62838","no","new",0,19.4,FALSE
"C26682","no","returning",54.34,17.8,TRUE
"C63965","no","returning",0,2.1,FALSE
"C57877","no","returning",0,11.7,FALSE
"C96976","no","returning",53.98,5.6,TRUE
"C47853","no","new",36.3,22.1,TRUE
"C40930","no","new",24.16,11.9,TRUE
"C34177","no","new",0,14.5,FALSE
"C60892","no","returning",27.67,5.2,TRUE
"C97590","no","returning",0,0.2,FALSE
"C53218","no","new",30.47,8,TRUE
"C99396","no","new",0,9.2,FALSE
"C95847","no","new",0,7.8,FALSE
"C44644","no","new",22.66,5.3,TRUE
"C86022","no","returning",0,3.1,FALSE
"C55131","no","new",31.42,9.7,TRUE
"C42802","no","new",0,8.3,FALSE
"C84847","no","new",0,0.7,TRUE
"C91040","no","returning",0,9.2,FALSE
"C42596","no","new",0,17.5,FALSE
"C62566","no","returning",0,15.8,FALSE
"C57497","no","returning",38.07,10.4,TRUE
"C52910","no","returning",57.83,18.6,TRUE
"C41791","no","returning",85.4,17.3,TRUE
"C36142","no","returning",48.4,10.9,TRUE
"C83667","no","returning",24.57,9,TRUE
"C52155","no","returning",27.79,11.6,TRUE
"C88995","no","returning",48.68,13.7,TRUE
"C19601","no","new",0,9.2,FALSE
"C42174","no","returning",82.98,20.6,TRUE
"C89515","no","new",26.83,7.5,TRUE
"C36909","no","returning",0,17.5,FALSE
"C76496","no","returning",34.06,9.4,TRUE
"C73660","no","new",0,8.2,FALSE
"C29820","no","returning",0,16.5,FALSE
"C50092","no","returning",0,10.7,FALSE
"C57913","no","returning",48.48,8.7,TRUE
"C66747","no","returning",4.62,1.9,TRUE
"C96317","no","returning",0,2.6,FALSE
"C68948","no","new",0,20.7,FALSE
"C34558","no","returning",0,3.1,FALSE
"C14740","no","new",0,9.6,FALSE
"C28182","no","returning",58.84,8.2,TRUE
"C68562","no","new",0,15.8,FALSE
"C73341","no","new",0,1.7,FALSE
"C72974","no","new",0,20.4,FALSE
"C88272","no","returning",93.56,11.4,TRUE
"C14038","no","new",0,19.3,FALSE
"C98494","no","returning",0,13.2,FALSE
"C61844","no","returning",36.65,12.8,TRUE
"C76362","no","returning",61.42,11.8,TRUE
"C40226","no","new",0,12.7,FALSE
"C32183","no","new",20.31,13,TRUE
"C74955","no","returning",0,11.3,FALSE
"C93074","no","new",0,1.6,FALSE
"C62603","no","new",34.18,11.3,TRUE
"C58091","no","new",0,12.4,FALSE
"C10214","no","new",0,10,FALSE
"C99681","no","returning",23.03,6.5,TRUE
"C30068","no","new",0,5.8,FALSE
"C49811","no","new",59.92,13.3,TRUE
"C71932","no","returning",0,18.7,FALSE
"C70827","no","new",0,1.5,FALSE
"C12116","no","returning",18.38,13.6,TRUE
"C19158","no","new",25.44,4.9,TRUE
"C68570","no","new",0,7.1,FALSE
"C74279","no","new",0,6.1,FALSE
"C19519","no","new",0,8.4,TRUE
"C62140","no","new",24.49,7.5,TRUE
"C84648","no","new",0,6.9,FALSE
"C37124","no","new",15.98,13.3,TRUE
"C43428","no","returning",0,0.5,FALSE
"C72246","no","new",0,9.3,FALSE
"C79990","no","new",15.02,11,TRUE
"C23468","no","new",0,8.1,FALSE
"C26120","no","new",0,8.8,FALSE
"C58569","no","new",0,15.2,FALSE
"C35232","no","new",0,9,FALSE
"C80072","no","new",0,8.6,FALSE
"C30359","no","returning",0,0.6,FALSE
"C80674","no","returning",21.7,5.9,TRUE
"C38071","no","new",0,9.3,FALSE
"C65833","no","returning",33.81,10.8,TRUE
"C57167","no","returning",46.55,4.9,TRUE
"C60802","no","new",0,7.5,FALSE
"C88530","no","returning",49.5,13.7,TRUE
"C57150","no","new",0,6.8,TRUE
"C70015","no","new",11.34,9.3,TRUE
"C32329","no","new",0,0.6,FALSE
"C90503","no","new",0,7.6,FALSE
"C79199","no","new",12.42,7.4,TRUE
"C61186","no","new",13.79,12.4,TRUE
"C24088","no","new",21.16,15.2,TRUE
"C29988","no","new",0,5.9,FALSE
"C36566","no","new",0,6.6,FALSE
"C23967","no","returning",48.4,10.2,TRUE
"C17608","no","new",0,16.3,FALSE
"C41827","no","new",2.41,7.8,TRUE
"C32898","no","returning",54.22,10.1,TRUE
"C53220","no","returning",29.17,11.7,TRUE
"C97969","no","returning",91.21,7,TRUE
"C35286","no","new",0,14.1,FALSE
"C17452","no","returning",20.62,9.5,TRUE
"C45139","no","returning",0,13.6,FALSE
"C36793","no","new",0,6.4,FALSE
"C85272","no","new",0,11,FALSE
"C80312","no","new",0,6.3,FALSE
"C17780","no","returning",0,7.8,FALSE
"C92434","no","new",0,5.2,FALSE
"C94482","no","new",0,5.9,FALSE
"C86084","no","returning",30.96,16.7,TRUE
"C89400","no","new",0,1.8,TRUE
"C51980","no","new",0,3.6,FALSE
"C99628","no","returning",0,15.5,FALSE
"C69155","no","returning",14.95,2.3,TRUE
"C66078","no","returning",50.53,3.4,TRUE
"C81458","no","returning",0,6.3,FALSE
"C19510","no","new",0,12.3,FALSE
"C15578","no","new",18.44,5.6,TRUE
"C56784","no","new",8.63,8,TRUE
"C23797","no","returning",0,10.3,FALSE
"C17135","no","returning",60.54,17,TRUE
"C91831","no","returning",0,19.2,FALSE
"C32302","no","returning",26.85,8,TRUE
"C36604","no","new",0,15.1,FALSE
"C71941","no","new",0,14,FALSE
"C61071","no","returning",0,11.1,FALSE
"C47858","no","returning",0,2.2,FALSE
"C59720","no","new",0,8.7,FALSE
"C31294","no","new",0,5.4,FALSE
"C59359","no","new",32.13,2.2,TRUE
"C30936","no","new",0,8.5,FALSE
"C98036","no","new",0,8.2,FALSE
"C45703","no","new",0,16.6,FALSE
"C62533","no","returning",49.2,5.4,TRUE
"C72178","no","returning",0,1.2,FALSE
"C30934","no","returning",39.85,10.3,TRUE
"C53071","no","returning",0,4.6,FALSE
"C19505","no","returning",44.18,6.7,TRUE
"C74491","no","returning",0,14.5,FALSE
"C86474","no","returning",35.23,9.7,TRUE
"C76466","no","new",0,13.3,FALSE
"C44398","no","new",0,2.1,FALSE
"C89695","no","returning",23.78,9.2,TRUE
"C30381","no","returning",19.39,8.9,TRUE
"C48785","no","returning",24.46,7.5,TRUE
"C68693","no","returning",34.35,3.5,TRUE
"C70127","no","returning",0,13.2,FALSE
"C87365","no","new",0,6.5,FALSE
"C45926","no","new",36.71,14.1,TRUE
"C88751","no","returning",0,11.7,FALSE
"C85897","no","new",0,8.9,FALSE
"C99027","no","returning",0,10.5,FALSE
"C67791","no","returning",0,4.3,FALSE
"C76271","no","returning",0,12.2,FALSE
"C73754","no","new",0,10.5,FALSE
"C22404","no","new",0,11.6,FALSE
"C37948","no","new",0,1.7,TRUE
"C50800","no","returning",53.78,12.3,TRUE
"C54701","no","returning",58.05,12.9,TRUE
"C53606","no","returning",53.44,13.8,TRUE
"C41884","no","new",0,0,FALSE
"C14779","no","returning",0,10.2,FALSE
"C47821","no","returning",28.73,11.3,TRUE
"C84895","no","returning",48.2,10.5,TRUE
"C99253","no","new",0,6.5,FALSE
"C53006","no","returning",0,6.2,FALSE
"C34458","no","new",0,8.3,FALSE
"C44237","no","new",0,2.2,FALSE
"C72543","no","new",0,7.3,FALSE
"C99238","no","returning",33.47,7.9,TRUE
"C30187","no","new",30.12,10.4,TRUE
"C55235","no","new",1.59,2.9,TRUE
"C39854","no","returning",25.6,12.4,TRUE
"C72175","no","new",0,13.6,FALSE
"C70659","no","returning",0,3.9,FALSE
"C83353","no","returning",0,18.1,FALSE
"C96985","no","returning",19.27,8,TRUE
"C91524","no","returning",53.09,3.3,TRUE
"C86108","no","returning",17.08,3.8,TRUE
"C40900","no","new",0,6.1,FALSE
"C48107","no","returning",18.71,10.9,TRUE
"C19593","no","returning",0,6.1,FALSE
"C50013","no","new",0,12.5,FALSE
"C44488","no","returning",0,9.2,FALSE
"C28488","no","new",0,6.2,FALSE
"C79615","no","returning",36.74,11.7,TRUE
"C21707","no","returning",0,5.9,FALSE
"C92638","no","returning",0,20.4,FALSE
"C26940","no","new",0,19.2,FALSE
"C92110","no","returning",0,11,FALSE
"C28059","no","new",0,14.2,FALSE
"C62511","no","new",0,2.8,FALSE
"C51174","no","returning",0,17.1,FALSE
"C60956","no","new",0,14.4,FALSE
"C15398","no","returning",0,12.8,FALSE
"C24343","no","returning",81.39,13.6,TRUE
"C52469","no","returning",0,17.5,FALSE
"C91038","no","new",0,6.4,FALSE
"C82269","no","returning",74.7,8.9,TRUE
"C72325","no","new",0,7.2,FALSE
"C49166","no","new",0,11.8,FALSE
"C10684","no","new",0,8.1,FALSE
"C21040","no","returning",0,5.7,FALSE
"C81464","no","returning",0,14.6,FALSE
"C32075","no","returning",57.68,11.9,TRUE
"C90281","no","new",0,7.1,FALSE
"C84084","no","returning",36.68,17.4,TRUE
"C38889","no","returning",56.51,21.7,TRUE
"C97449","no","returning",77.4,12.1,TRUE
"C37805","no","returning",44.36,13,TRUE
"C76501","no","returning",0,14.1,FALSE
"C76987","no","new",0,7.8,FALSE
"C98942","no","returning",44.15,7.6,TRUE
"C43108","no","returning",0,14.9,FALSE
"C56543","no","new",0,14.6,FALSE
"C14247","no","returning",61.75,10.2,TRUE
"C15315","no","returning",0,15.7,FALSE
"C35407","no","returning",37.89,7.3,TRUE
"C83637","no","returning",38.25,14.2,TRUE
"C35284","no","new",37.08,11.7,TRUE
"C32958","no","returning",19.83,7.5,TRUE
"C36139","no","returning",0,6.8,FALSE
"C46585","no","returning",0,8.4,FALSE
"C11447","no","returning",29.75,9.8,TRUE
"C77284","no","new",0,16,FALSE
"C50472","no","new",0,14.7,FALSE
"C77999","no","returning",0,5.4,FALSE
"C73272","no","returning",0,12.2,FALSE
"C40847","no","returning",0,0.4,FALSE
"C29107","no","returning",0,0.6,FALSE
"C40655","no","new",12.66,11.4,TRUE
"C32185","no","returning",0,7,FALSE
"C31539","no","returning",0,0.5,FALSE
"C70338","no","returning",7,11.2,TRUE
"C95220","no","returning",44.07,12.9,TRUE
"C16459","no","returning",0,9.1,FALSE
"C70801","no","returning",0,18.2,FALSE
"C29464","no","new",26.05,12,TRUE
"C99697","no","returning",0,13.5,FALSE
"C88816","no","new",25.52,11.6,TRUE
"C72680","no","returning",48.11,16.8,TRUE
"C20942","no","returning",54.17,11.3,TRUE
"C67667","no","returning",35.04,7,TRUE
"C47240","no","new",25.45,8.7,TRUE
"C75753","no","new",0,11.7,FALSE
"C40875","no","returning",0,21.6,FALSE
"C83593","no","returning",0,13.5,FALSE
"C66865","no","returning",0,8.1,FALSE
"C46873","no","returning",0,2.2,FALSE
"C50771","no","returning",36.13,12.2,TRUE
"C63817","no","new",0,5.2,FALSE
"C27592","no","new",0,5.1,FALSE
"C89849","no","returning",52.35,8.4,TRUE
"C30808","no","returning",58.24,17.9,TRUE
"C32834","no","returning",10.1,14.6,TRUE
"C80988","no","new",31.98,9.4,TRUE
"C57896","no","new",19.29,15.3,TRUE
"C75620","no","returning",0,15.2,FALSE
"C94118","no","new",31.25,11.2,TRUE
"C49066","no","returning",16.23,5.9,TRUE
"C29793","no","returning",0,5.8,FALSE
"C38246","no","new",0,3.8,FALSE
"C20880","no","new",16.24,7.9,TRUE
"C16049","no","new",0,11.3,FALSE
"C39881","no","returning",0,4.6,FALSE
"C81371","no","new",0,10.1,FALSE
"C79203","no","returning",48.31,5.3,TRUE
"C85212","no","returning",26.9,3.4,TRUE
"C73972","no","new",0,9.2,FALSE
"C76748","no","new",0,2.4,FALSE
"C87297","no","new",20.84,6.6,TRUE
"C41955","no","new",0,13.1,FALSE
"C83000","no","new",9.51,4.2,TRUE
"C77532","no","returning",0,14.7,FALSE
"C61455","no","new",0,13.7,FALSE
"C99304","no","new",0,0.1,FALSE
"C13198","no","returning",34.95,9.5,TRUE
"C51498","no","new",0,8.8,FALSE
"C37073","no","new",0,16.9,FALSE
"C17067","no","returning",27.79,8.8,TRUE
"C52985","no","returning",15.32,8.3,TRUE
"C87739","no","new",37.54,14.4,TRUE
"C14017","no","new",18.91,9.5,TRUE
"C68466","no","new",0,8,FALSE
"C81573","no","returning",0,5.3,TRUE
"C12014","no","returning",22.57,16.9,TRUE
"C46189","no","new",0,12.7,FALSE
"C56777","no","new",0,11.1,FALSE
"C48382","no","returning",0,6.3,FALSE
"C23230","no","returning",17.78,11.6,TRUE
"C41247","no","new",0,1.5,FALSE
"C61458","no","returning",33.53,13.5,TRUE
"C98678","no","new",16.17,11.2,TRUE
"C24948","no","new",0,14.6,FALSE
"C50608","no","new",44.94,9.7,TRUE
"C87107","no","new",51.46,16,TRUE
"C29245","no","new",6.83,14.4,TRUE
"C32515","no","returning",35.76,2.4,TRUE
"C78508","no","returning",0,9.7,FALSE
"C92744","no","returning",0,15.9,FALSE
"C57370","no","new",27.22,4.2,TRUE
"C79711","no","returning",0,7.6,FALSE
"C10458","no","new",0,14.3,FALSE
"C66416","no","returning",0,6.5,FALSE
"C51775","no","new",26.95,15,TRUE
"C23176","no","returning",0,5.4,FALSE
"C40124","no","returning",0,15.1,FALSE
"C37454","no","returning",0,1.7,FALSE
"C70090","no","returning",0,21.8,FALSE
"C95431","no","new",24.8,13.6,TRUE
"C70256","no","new",0,12.6,FALSE
"C11211","no","returning",0,7.5,FALSE
"C98190","no","returning",0,1.3,FALSE
"C88839","no","returning",0,10.1,FALSE
"C22490","no","new",0,6.9,FALSE
"C96187","no","new",0,16.9,FALSE
"C52657","no","returning",29.35,18,TRUE
"C51728","no","returning",0,9,FALSE
"C39717","no","returning",0,12.5,FALSE
"C37592","no","returning",0,8.9,FALSE
"C31264","no","new",20.06,10.7,TRUE
"C71292","no","returning",62.86,13.3,TRUE
"C65247","no","returning",0,9.1,FALSE
"C78047","no","returning",0,4.3,FALSE
"C86134","no","new",28.3,10.6,TRUE
"C24237","no","returning",56.48,13.9,TRUE
"C93701","no","returning",0,7.4,FALSE
"C84703","no","returning",0,10.9,FALSE
"C87018","no","new",0,1.7,TRUE
"C74850","no","new",31.2,18.5,TRUE
"C65168","no","new",0,7.3,FALSE
"C64407","no","new",0,21.8,FALSE
"C37219","no","returning",48.29,12.6,TRUE
"C18889","no","returning",46.1,15.8,TRUE
"C40083","no","returning",29.18,11.2,TRUE
"C24737","no","new",0,2.6,FALSE
"C93204","no","new",0,11,FALSE
"C59003","no","new",0,20.1,FALSE
